chromophore,region,measure,condition,n,mean,std,sem,median,q25,q75
HbR,Frontal,mse,0back,26,0.195984,0.028126,0.005516,0.191089,0.173562,0.212479
HbR,Frontal,mse,2back,26,0.188350,0.038717,0.007593,0.186106,0.157899,0.212778
HbR,Frontal,mse,3back,26,0.183771,0.031223,0.006123,0.181580,0.162880,0.213668
HbR,Frontal,scale1,0back,26,0.084903,0.015730,0.003085,0.080471,0.072452,0.096428
HbR,Frontal,scale1,2back,26,0.081379,0.020872,0.004093,0.080760,0.064022,0.096025
HbR,Frontal,scale1,3back,26,0.078914,0.016388,0.003214,0.078166,0.067792,0.092741
HbR,Frontal,scale2,0back,26,0.175132,0.027180,0.005330,0.170213,0.154941,0.189567
HbR,Frontal,scale2,2back,26,0.167392,0.037434,0.007341,0.165066,0.137016,0.190633
HbR,Frontal,scale2,3back,26,0.162569,0.029940,0.005872,0.159284,0.142586,0.190896
HbR,Frontal,scale3,0back,26,0.235722,0.031855,0.006247,0.231205,0.210210,0.252132
HbR,Frontal,scale3,2back,26,0.226292,0.044116,0.008652,0.224413,0.191704,0.251349
HbR,Frontal,scale3,3back,26,0.221297,0.036182,0.007096,0.217909,0.197459,0.255035
HbR,Frontal,scale4,0back,26,0.288180,0.038089,0.007470,0.283181,0.257090,0.310654
HbR,Frontal,scale4,2back,26,0.278339,0.052683,0.010332,0.275805,0.238761,0.313823
HbR,Frontal,scale4,3back,26,0.272306,0.042591,0.008353,0.271119,0.243488,0.314253
HbR,Occipital,sample_entropy,0back,26,0.169980,0.034975,0.006859,0.174354,0.148911,0.192814
HbR,Occipital,sample_entropy,2back,26,0.164384,0.035222,0.006908,0.163504,0.144108,0.192488
HbR,Occipital,sample_entropy,3back,26,0.164169,0.037762,0.007406,0.166617,0.133811,0.193334
HbR,Occipital,mse,0back,26,0.334608,0.049286,0.009666,0.345774,0.306819,0.369386
HbR,Occipital,mse,2back,26,0.326567,0.051175,0.010036,0.326092,0.300194,0.370306
HbR,Occipital,mse,3back,26,0.325690,0.055106,0.010807,0.332595,0.281086,0.366867
HbR,Occipital,scale1,0back,26,0.169980,0.034975,0.006859,0.174354,0.148911,0.192814
HbR,Occipital,scale1,2back,26,0.164384,0.035222,0.006908,0.163504,0.144108,0.192488
HbR,Occipital,scale1,3back,26,0.164169,0.037762,0.007406,0.166617,0.133811,0.193334
HbR,Occipital,scale2,0back,26,0.305022,0.046324,0.009085,0.314990,0.281374,0.336395
HbR,Occipital,scale2,2back,26,0.295993,0.048442,0.009500,0.296448,0.272747,0.334134
HbR,Occipital,scale2,3back,26,0.294768,0.052044,0.010207,0.303202,0.255631,0.332805
HbR,Occipital,scale3,0back,26,0.387355,0.051863,0.010171,0.397511,0.358543,0.424897
HbR,Occipital,scale3,2back,26,0.378868,0.054884,0.010764,0.380622,0.352211,0.425279
HbR,Occipital,scale3,3back,26,0.377218,0.058002,0.011375,0.388583,0.330196,0.420511
HbR,Occipital,scale4,0back,26,0.476077,0.064729,0.012694,0.485684,0.438334,0.524357
HbR,Occipital,scale4,2back,26,0.467022,0.066761,0.013093,0.460791,0.429787,0.526471
HbR,Occipital,scale4,3back,26,0.466606,0.072965,0.014310,0.474168,0.404706,0.520817
HbR,Parietal,sample_entropy,0back,26,0.144616,0.033769,0.006623,0.144900,0.121128,0.166034
HbR,Parietal,sample_entropy,2back,26,0.140377,0.036047,0.007069,0.135928,0.118608,0.166029
HbR,Parietal,sample_entropy,3back,26,0.139134,0.032389,0.006352,0.138972,0.111754,0.159171
HbR,Parietal,mse,0back,26,0.297836,0.051209,0.010043,0.302613,0.264493,0.334205
HbR,Parietal,mse,2back,26,0.290490,0.055665,0.010917,0.287817,0.261035,0.329695
HbR,Parietal,mse,3back,26,0.291002,0.049679,0.009743,0.291563,0.256384,0.321761
HbR,Parietal,scale1,0back,26,0.144616,0.033769,0.006623,0.144900,0.121128,0.166034
HbR,Parietal,scale1,2back,26,0.140377,0.036047,0.007069,0.135928,0.118608,0.166029
HbR,Parietal,scale1,3back,26,0.139134,0.032389,0.006352,0.138972,0.111754,0.159171
HbR,Parietal,scale2,0back,26,0.270461,0.047584,0.009332,0.271955,0.241931,0.300024
HbR,Parietal,scale2,2back,26,0.262899,0.052060,0.010210,0.262102,0.239374,0.302069
HbR,Parietal,scale2,3back,26,0.263251,0.046965,0.009211,0.264051,0.227249,0.292830
HbR,Parietal,scale3,0back,26,0.348449,0.055050,0.010796,0.354449,0.314679,0.381119
HbR,Parietal,scale3,2back,26,0.340469,0.060364,0.011838,0.340764,0.312397,0.388795
HbR,Parietal,scale3,3back,26,0.341196,0.052918,0.010378,0.342877,0.308496,0.376111
HbR,Parietal,scale4,0back,26,0.427819,0.069064,0.013545,0.432633,0.382597,0.475456
HbR,Parietal,scale4,2back,26,0.418214,0.074984,0.014706,0.412474,0.381462,0.467432
HbR,Parietal,scale4,3back,26,0.420427,0.067219,0.013183,0.426256,0.376613,0.461324
HbR,WholeBrain,sample_entropy,0back,26,0.117140,0.017298,0.003392,0.117598,0.108001,0.130964
HbR,WholeBrain,sample_entropy,2back,26,0.112610,0.021234,0.004164,0.113057,0.100358,0.126485
HbR,WholeBrain,sample_entropy,3back,26,0.112233,0.018070,0.003544,0.116234,0.103576,0.121615
HbR,WholeBrain,mse,0back,26,0.250380,0.027310,0.005356,0.252508,0.237865,0.268615
HbR,WholeBrain,mse,2back,26,0.241999,0.035430,0.006948,0.242789,0.221647,0.267859
HbR,WholeBrain,mse,3back,26,0.241530,0.029750,0.005834,0.249347,0.227443,0.259046
HbR,WholeBrain,scale1,0back,26,0.117140,0.017298,0.003392,0.117598,0.108001,0.130964
HbR,WholeBrain,scale1,2back,26,0.112610,0.021234,0.004164,0.113057,0.100358,0.126485
HbR,WholeBrain,scale1,3back,26,0.112233,0.018070,0.003544,0.116234,0.103576,0.121615
HbR,WholeBrain,scale2,0back,26,0.225863,0.025892,0.005078,0.227963,0.211736,0.242415
HbR,WholeBrain,scale2,2back,26,0.217210,0.033906,0.006650,0.220091,0.196074,0.240550
HbR,WholeBrain,scale2,3back,26,0.216539,0.028129,0.005517,0.223201,0.204063,0.234820
HbR,WholeBrain,scale3,0back,26,0.295575,0.029705,0.005826,0.298142,0.280723,0.315496
HbR,WholeBrain,scale3,2back,26,0.286063,0.039275,0.007702,0.289077,0.262604,0.314998
HbR,WholeBrain,scale3,3back,26,0.285501,0.032796,0.006432,0.291821,0.271139,0.306292
HbR,WholeBrain,scale4,0back,26,0.362941,0.036667,0.007191,0.365957,0.349399,0.388407
HbR,WholeBrain,scale4,2back,26,0.352112,0.047592,0.009334,0.352380,0.327553,0.387691
HbR,WholeBrain,scale4,3back,26,0.351847,0.040295,0.007902,0.363095,0.331354,0.375011
HbT,Central,sample_entropy,0back,26,0.113206,0.024548,0.004814,0.111002,0.094899,0.137514
HbT,Central,sample_entropy,2back,26,0.114863,0.024302,0.004766,0.116391,0.092706,0.131510
HbT,Central,sample_entropy,3back,26,0.110106,0.020860,0.004091,0.110997,0.093890,0.125439
HbT,Central,mse,0back,26,0.250967,0.041721,0.008182,0.252374,0.220467,0.289789
HbT,Central,mse,2back,26,0.254206,0.040896,0.008020,0.261056,0.216084,0.281771
HbT,Central,mse,3back,26,0.245772,0.035816,0.007024,0.250135,0.219083,0.271661
HbT,Central,scale1,0back,26,0.113206,0.024548,0.004814,0.111002,0.094899,0.137514
HbT,Central,scale1,2back,26,0.114863,0.024302,0.004766,0.116391,0.092706,0.131510
HbT,Central,scale1,3back,26,0.110106,0.020860,0.004091,0.110997,0.093890,0.125439
HbT,Central,scale2,0back,26,0.231898,0.041265,0.008093,0.234438,0.200987,0.271014
HbT,Central,scale2,2back,26,0.233750,0.039527,0.007752,0.238988,0.195953,0.262125
HbT,Central,scale2,3back,26,0.225348,0.034750,0.006815,0.230288,0.198535,0.249091
HbT,Central,scale3,0back,26,0.298904,0.045388,0.008901,0.301845,0.265965,0.340486
HbT,Central,scale3,2back,26,0.302187,0.043963,0.008622,0.307640,0.263034,0.332328
HbT,Central,scale3,3back,26,0.293013,0.039381,0.007723,0.297960,0.263504,0.319684
HbT,Central,scale4,0back,26,0.359860,0.056031,0.010988,0.361385,0.320016,0.408611
HbT,Central,scale4,2back,26,0.366023,0.056289,0.011039,0.372248,0.315656,0.400869
HbT,Central,scale4,3back,26,0.354620,0.048770,0.009565,0.360975,0.317720,0.387341
HbT,Frontal,sample_entropy,0back,26,0.109689,0.021596,0.004235,0.105481,0.095716,0.123982
HbT,Frontal,sample_entropy,2back,26,0.113592,0.025963,0.005092,0.113626,0.096348,0.123242
HbT,Frontal,sample_entropy,3back,26,0.107153,0.023814,0.004670,0.104466,0.095174,0.117525
HbT,Frontal,mse,0back,26,0.243691,0.038141,0.007480,0.237884,0.218622,0.270107
HbT,Frontal,mse,2back,26,0.249111,0.044686,0.008764,0.249783,0.220145,0.266031
HbT,Frontal,mse,3back,26,0.238776,0.041924,0.008222,0.233916,0.217212,0.257713
HbT,Frontal,scale1,0back,26,0.109689,0.021596,0.004235,0.105481,0.095716,0.123982
HbT,Frontal,scale1,2back,26,0.113592,0.025963,0.005092,0.113626,0.096348,0.123242
HbT,Frontal,scale1,3back,26,0.107153,0.023814,0.004670,0.104466,0.095174,0.117525
HbT,Frontal,scale2,0back,26,0.222543,0.036118,0.007083,0.219376,0.198147,0.247138
HbT,Frontal,scale2,2back,26,0.227494,0.041032,0.008047,0.230461,0.198497,0.243645
HbT,Frontal,scale2,3back,26,0.216257,0.039176,0.007683,0.212051,0.195638,0.235918
HbT,Frontal,scale3,0back,26,0.290459,0.042170,0.008270,0.285978,0.262075,0.320406
HbT,Frontal,scale3,2back,26,0.296201,0.049715,0.009750,0.298021,0.262381,0.316944
HbT,Frontal,scale3,3back,26,0.284755,0.046721,0.009163,0.281735,0.260898,0.305178
HbT,Frontal,scale4,0back,26,0.352075,0.052963,0.010387,0.342418,0.317439,0.390522
HbT,Frontal,scale4,2back,26,0.359158,0.062448,0.012247,0.355356,0.321304,0.380342
HbT,Frontal,scale4,3back,26,0.346938,0.058526,0.011478,0.341482,0.314777,0.372210
HbT,Occipital,sample_entropy,0back,26,0.121548,0.028166,0.005524,0.119746,0.102392,0.141002
HbT,Occipital,sample_entropy,2back,26,0.125776,0.027771,0.005446,0.121347,0.108340,0.147030
HbT,Occipital,sample_entropy,3back,26,0.122129,0.025938,0.005087,0.120552,0.107183,0.137750
HbT,Occipital,mse,0back,26,0.263978,0.045515,0.008926,0.266715,0.236926,0.295351
HbT,Occipital,mse,2back,26,0.272238,0.046929,0.009204,0.269925,0.245341,0.304902
HbT,Occipital,mse,3back,26,0.263765,0.042964,0.008426,0.261676,0.245616,0.293259
HbT,Occipital,scale1,0back,26,0.121548,0.028166,0.005524,0.119746,0.102392,0.141002
HbT,Occipital,scale1,2back,26,0.125776,0.027771,0.005446,0.121347,0.108340,0.147030
HbT,Occipital,scale1,3back,26,0.122129,0.025938,0.005087,0.120552,0.107183,0.137750
HbT,Occipital,scale2,0back,26,0.243761,0.044068,0.008642,0.249925,0.215656,0.275606
HbT,Occipital,scale2,2back,26,0.250492,0.043348,0.008501,0.247702,0.224602,0.282080
HbT,Occipital,scale2,3back,26,0.242630,0.041278,0.008095,0.243798,0.229662,0.271580
HbT,Occipital,scale3,0back,26,0.313655,0.050081,0.009822,0.317883,0.284986,0.346718
HbT,Occipital,scale3,2back,26,0.322900,0.051545,0.010109,0.320608,0.293235,0.361701
HbT,Occipital,scale3,3back,26,0.312388,0.046929,0.009204,0.308288,0.294043,0.345303
HbT,Occipital,scale4,0back,26,0.376946,0.060285,0.011823,0.382573,0.341498,0.418101
HbT,Occipital,scale4,2back,26,0.389782,0.065813,0.012907,0.389911,0.354595,0.431541
HbT,Occipital,scale4,3back,26,0.377914,0.058332,0.011440,0.377228,0.347112,0.418875
HbT,Parietal,sample_entropy,0back,26,0.115515,0.025366,0.004975,0.115022,0.092747,0.139800
HbT,Parietal,sample_entropy,2back,26,0.120990,0.026383,0.005174,0.115939,0.102640,0.140211
HbT,Parietal,sample_entropy,3back,26,0.115906,0.024508,0.004806,0.113976,0.104480,0.131494
HbT,Parietal,mse,0back,26,0.255045,0.043232,0.008478,0.257491,0.216033,0.292848
HbT,Parietal,mse,2back,26,0.264982,0.044483,0.008724,0.260612,0.243053,0.290207
HbT,Parietal,mse,3back,26,0.255783,0.042810,0.008396,0.252059,0.238522,0.286538
HbT,Parietal,scale1,0back,26,0.115515,0.025366,0.004975,0.115022,0.092747,0.139800
HbT,Parietal,scale1,2back,26,0.120990,0.026383,0.005174,0.115939,0.102640,0.140211
HbT,Parietal,scale1,3back,26,0.115906,0.024508,0.004806,0.113976,0.104480,0.131494
HbT,Parietal,scale2,0back,26,0.235705,0.041605,0.008159,0.242902,0.199256,0.273620
HbT,Parietal,scale2,2back,26,0.244248,0.042577,0.008350,0.239699,0.220669,0.269268
HbT,Parietal,scale2,3back,26,0.235792,0.041683,0.008175,0.237034,0.216305,0.265581
HbT,Parietal,scale3,0back,26,0.303304,0.046989,0.009215,0.307949,0.260216,0.342902
HbT,Parietal,scale3,2back,26,0.313916,0.048140,0.009441,0.308924,0.290854,0.337022
HbT,Parietal,scale3,3back,26,0.304531,0.047865,0.009387,0.299321,0.285945,0.338942
HbT,Parietal,scale4,0back,26,0.365658,0.059659,0.011700,0.371017,0.309944,0.420568
HbT,Parietal,scale4,2back,26,0.380773,0.061584,0.012078,0.374103,0.350242,0.415233
HbT,Parietal,scale4,3back,26,0.366904,0.057965,0.011368,0.366059,0.340950,0.409661
HbT,WholeBrain,sample_entropy,0back,26,0.113290,0.022066,0.004327,0.112198,0.094622,0.134384
HbT,WholeBrain,sample_entropy,2back,26,0.116798,0.023928,0.004693,0.112495,0.096273,0.129750
HbT,WholeBrain,sample_entropy,3back,26,0.111442,0.021225,0.004162,0.111899,0.095125,0.121704
HbT,WholeBrain,mse,0back,26,0.250355,0.037447,0.007344,0.252024,0.216850,0.283862
HbT,WholeBrain,mse,2back,26,0.256144,0.040363,0.007916,0.249309,0.221080,0.273502
HbT,WholeBrain,mse,3back,26,0.246774,0.036511,0.007160,0.251194,0.217921,0.263291
HbT,WholeBrain,scale1,0back,26,0.113290,0.022066,0.004327,0.112198,0.094622,0.134384
HbT,WholeBrain,scale1,2back,26,0.116798,0.023928,0.004693,0.112495,0.096273,0.129750
HbT,WholeBrain,scale1,3back,26,0.111442,0.021225,0.004162,0.111899,0.095125,0.121704
HbT,WholeBrain,scale2,0back,26,0.230140,0.036115,0.007083,0.233292,0.200055,0.262574
HbT,WholeBrain,scale2,2back,26,0.234927,0.037718,0.007397,0.231033,0.200204,0.252689
HbT,WholeBrain,scale2,3back,26,0.225348,0.034693,0.006804,0.230677,0.199637,0.242649
HbT,WholeBrain,scale3,0back,26,0.298098,0.040901,0.008021,0.301413,0.260042,0.334382
HbT,WholeBrain,scale3,2back,26,0.304282,0.044108,0.008650,0.295697,0.266051,0.322365
HbT,WholeBrain,scale3,3back,26,0.293852,0.040389,0.007921,0.300458,0.261456,0.313802
HbT,WholeBrain,scale4,0back,26,0.359892,0.050930,0.009988,0.361191,0.312680,0.401932
HbT,WholeBrain,scale4,2back,26,0.368571,0.056037,0.010990,0.362341,0.321524,0.389532
HbT,WholeBrain,scale4,3back,26,0.356453,0.050141,0.009834,0.362633,0.317119,0.380556
