chromophore,region,eeg_measure,nirs_measure,contrast,n_participants,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_global,significant_p05
HbR,Central,entropy__mse,entropy__sample_entropy,0_to_3,26,0.0047,9.819271e-01,-0.0188,9.273564e-01,9.975606e-01,NO
HbR,Central,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.1781,3.841779e-01,-0.1296,5.281267e-01,9.263788e-01,NO
HbR,Central,entropy__mse,entropy__mse,0_to_2,26,-0.0491,8.115840e-01,-0.0366,8.591836e-01,9.727882e-01,NO
HbR,Central,entropy__mse,entropy__mse,0_to_3,26,-0.0575,7.802479e-01,-0.1152,5.751685e-01,9.727882e-01,NO
HbR,Central,entropy__mse,entropy__mse,2_to_3,26,-0.1564,4.455452e-01,-0.0865,6.743822e-01,9.263788e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,-0.3575,7.293401e-02,-0.2718,1.792151e-01,7.700929e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,-0.0894,6.641980e-01,-0.1706,4.047117e-01,9.496719e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2714,1.798009e-01,-0.2499,2.182106e-01,8.882456e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__mse,0_to_2,26,-0.3855,5.181592e-02,-0.3032,1.320829e-01,6.924491e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__mse,0_to_3,26,-0.1263,5.386477e-01,-0.1979,3.323751e-01,9.263788e-01,NO
HbR,Frontal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2679,1.858229e-01,-0.2397,2.383174e-01,8.882456e-01,NO
HbR,Frontal,entropy__mse,entropy__sample_entropy,0_to_2,26,-0.3730,6.055472e-02,-0.2793,1.670088e-01,7.338965e-01,NO
HbR,Frontal,entropy__mse,entropy__sample_entropy,0_to_3,26,-0.0635,7.580745e-01,-0.1679,4.123972e-01,9.703010e-01,NO
HbR,Frontal,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.1930,3.447945e-01,-0.1227,5.502972e-01,9.263788e-01,NO
HbR,Frontal,entropy__mse,entropy__mse,0_to_2,26,-0.3954,4.559132e-02,-0.3135,1.188639e-01,6.792491e-01,YES
HbR,Frontal,entropy__mse,entropy__mse,0_to_3,26,-0.1107,5.904151e-01,-0.1979,3.323751e-01,9.331281e-01,NO
HbR,Frontal,entropy__mse,entropy__mse,2_to_3,26,-0.1961,3.371084e-01,-0.1275,5.347329e-01,9.263788e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.2835,1.604846e-01,0.2267,2.654913e-01,8.882456e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.3139,1.183620e-01,0.4503,2.099066e-02,8.757993e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,0.0948,6.450086e-01,0.0284,8.905554e-01,9.496719e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__mse,0_to_2,26,0.2991,1.376599e-01,0.2903,1.503163e-01,8.780519e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__mse,0_to_3,26,0.3055,1.291270e-01,0.4338,2.680468e-02,8.780519e-01,NO
HbR,Occipital,entropy__sample_entropy,entropy__mse,2_to_3,26,0.0723,7.257503e-01,0.0926,6.525964e-01,9.622874e-01,NO
HbR,Occipital,entropy__mse,entropy__sample_entropy,0_to_2,26,0.2407,2.361370e-01,0.1275,5.347329e-01,9.060788e-01,NO
HbR,Occipital,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2330,2.520967e-01,0.2568,2.054591e-01,9.136552e-01,NO
HbR,Occipital,entropy__mse,entropy__sample_entropy,2_to_3,26,0.0548,7.904568e-01,0.0133,9.484559e-01,9.727882e-01,NO
HbR,Occipital,entropy__mse,entropy__mse,0_to_2,26,0.2508,2.165811e-01,0.1754,3.914569e-01,8.980320e-01,NO
HbR,Occipital,entropy__mse,entropy__mse,0_to_3,26,0.2256,2.678617e-01,0.2834,1.606030e-01,9.231252e-01,NO
HbR,Occipital,entropy__mse,entropy__mse,2_to_3,26,0.0551,7.892627e-01,0.0728,7.236975e-01,9.727882e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,-0.0643,7.550095e-01,-0.1590,4.379267e-01,9.685641e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,-0.2007,3.254563e-01,-0.2670,1.872984e-01,9.263788e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3321,9.739614e-02,-0.4113,3.685311e-02,8.328669e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__mse,0_to_2,26,-0.0220,9.150363e-01,-0.1111,5.889407e-01,9.878817e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__mse,0_to_3,26,-0.1680,4.119818e-01,-0.2164,2.883003e-01,9.263788e-01,NO
HbR,Parietal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.3880,5.013778e-02,-0.3798,5.562837e-02,6.864961e-01,NO
HbR,Parietal,entropy__mse,entropy__sample_entropy,0_to_2,26,-0.0504,8.067999e-01,-0.3279,1.020238e-01,9.727882e-01,NO
HbR,Parietal,entropy__mse,entropy__sample_entropy,0_to_3,26,-0.1611,4.318794e-01,-0.3313,9.829040e-02,9.263788e-01,NO
HbR,Parietal,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2105,3.019635e-01,-0.2745,1.747067e-01,9.263788e-01,NO
HbR,Parietal,entropy__mse,entropy__mse,0_to_2,26,-0.0039,9.849006e-01,-0.2889,1.523350e-01,9.975606e-01,NO
HbR,Parietal,entropy__mse,entropy__mse,0_to_3,26,-0.1147,5.770296e-01,-0.2896,1.513233e-01,9.286741e-01,NO
HbR,Parietal,entropy__mse,entropy__mse,2_to_3,26,-0.2820,1.627274e-01,-0.2718,1.792151e-01,8.882456e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,-0.1637,4.242799e-01,-0.1754,3.914569e-01,9.263788e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,-0.0688,7.385468e-01,0.0065,9.748763e-01,9.622874e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3736,6.006678e-02,-0.3422,8.702815e-02,7.338965e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_2,26,-0.1832,3.704626e-01,-0.1617,4.299823e-01,9.263788e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_3,26,-0.0874,6.711719e-01,-0.0756,7.137407e-01,9.496719e-01,NO
HbR,WholeBrain,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.3321,9.745110e-02,-0.2978,1.395537e-01,8.328669e-01,NO
HbR,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_2,26,-0.2096,3.041782e-01,-0.2909,1.493141e-01,9.263788e-01,NO
HbR,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_3,26,-0.1247,5.438811e-01,-0.0968,6.382238e-01,9.263788e-01,NO
HbR,WholeBrain,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.3210,1.097945e-01,-0.2287,2.610733e-01,8.471551e-01,NO
HbR,WholeBrain,entropy__mse,entropy__mse,0_to_2,26,-0.2300,2.583494e-01,-0.2581,2.029710e-01,9.173274e-01,NO
HbR,WholeBrain,entropy__mse,entropy__mse,0_to_3,26,-0.1453,4.786725e-01,-0.1672,4.143312e-01,9.263788e-01,NO
HbR,WholeBrain,entropy__mse,entropy__mse,2_to_3,26,-0.2988,1.381356e-01,-0.2191,2.821007e-01,8.780519e-01,NO
HbT,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.4569,1.895818e-02,0.5644,2.666323e-03,6.137318e-01,YES
HbT,Central,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.1014,6.220007e-01,-0.0017,9.933875e-01,9.413258e-01,NO
HbT,Central,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2178,2.851832e-01,-0.0523,7.996702e-01,9.263788e-01,NO
HbT,Central,entropy__sample_entropy,entropy__mse,0_to_2,26,0.3639,6.764806e-02,0.4940,1.031505e-02,7.610407e-01,NO
HbT,Central,entropy__sample_entropy,entropy__mse,0_to_3,26,0.0832,6.859803e-01,-0.0297,8.853143e-01,9.521620e-01,NO
HbT,Central,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2770,1.707684e-01,-0.0988,6.310845e-01,8.882456e-01,NO
HbT,Central,entropy__mse,entropy__sample_entropy,0_to_2,26,0.5238,6.026975e-03,0.5535,3.354086e-03,4.429827e-01,YES
HbT,Central,entropy__mse,entropy__sample_entropy,0_to_3,26,0.1196,5.607298e-01,-0.0120,9.537366e-01,9.263788e-01,NO
HbT,Central,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.1177,5.669393e-01,-0.0291,8.879343e-01,9.263788e-01,NO
HbT,Central,entropy__mse,entropy__mse,0_to_2,26,0.4611,1.774718e-02,0.5043,8.617026e-03,6.137318e-01,YES
HbT,Central,entropy__mse,entropy__mse,0_to_3,26,0.1137,5.803578e-01,-0.0236,9.089331e-01,9.320385e-01,NO
HbT,Central,entropy__mse,entropy__mse,2_to_3,26,-0.1569,4.439136e-01,-0.0776,7.063029e-01,9.263788e-01,NO
HbT,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.4518,2.048692e-02,0.5337,4.987980e-03,6.188172e-01,YES
HbT,Frontal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.2692,1.836134e-01,0.1973,3.340818e-01,8.882456e-01,NO
HbT,Frontal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2500,2.180762e-01,0.0058,9.775202e-01,8.980320e-01,NO
HbT,Frontal,entropy__sample_entropy,entropy__mse,0_to_2,26,0.4379,2.524613e-02,0.4899,1.106805e-02,6.516205e-01,YES
HbT,Frontal,entropy__sample_entropy,entropy__mse,0_to_3,26,0.2283,2.619773e-01,0.1350,5.107030e-01,9.198406e-01,NO
HbT,Frontal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2722,1.785791e-01,-0.0434,8.331964e-01,8.882456e-01,NO
HbT,Frontal,entropy__mse,entropy__sample_entropy,0_to_2,26,0.4685,1.578620e-02,0.5262,5.763008e-03,6.015990e-01,YES
HbT,Frontal,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2492,2.196461e-01,0.1713,4.028029e-01,8.980320e-01,NO
HbT,Frontal,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2630,1.943434e-01,0.0359,8.617906e-01,8.882456e-01,NO
HbT,Frontal,entropy__mse,entropy__mse,0_to_2,26,0.4448,2.278334e-02,0.4715,1.504463e-02,6.489626e-01,YES
HbT,Frontal,entropy__mse,entropy__mse,0_to_3,26,0.1977,3.330261e-01,0.0920,6.550038e-01,9.263788e-01,NO
HbT,Frontal,entropy__mse,entropy__mse,2_to_3,26,-0.3038,1.313687e-01,-0.0352,8.643991e-01,8.780519e-01,NO
HbT,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.4746,1.430110e-02,0.3689,6.367015e-02,5.733439e-01,YES
HbT,Occipital,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.2965,1.413305e-01,0.2253,2.684632e-01,8.790835e-01,NO
HbT,Occipital,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2016,3.233168e-01,-0.1685,4.104683e-01,9.263788e-01,NO
HbT,Occipital,entropy__sample_entropy,entropy__mse,0_to_2,26,0.4747,1.427069e-02,0.4126,3.616927e-02,5.733439e-01,YES
HbT,Occipital,entropy__sample_entropy,entropy__mse,0_to_3,26,0.2996,1.369740e-01,0.2260,2.669746e-01,8.780519e-01,NO
HbT,Occipital,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.1925,3.460291e-01,-0.1795,3.802946e-01,9.263788e-01,NO
HbT,Occipital,entropy__mse,entropy__sample_entropy,0_to_2,26,0.4342,2.666739e-02,0.3990,4.348204e-02,6.523048e-01,YES
HbT,Occipital,entropy__mse,entropy__sample_entropy,0_to_3,26,0.3576,7.288439e-02,0.3607,7.026951e-02,7.700929e-01,NO
HbT,Occipital,entropy__mse,entropy__sample_entropy,2_to_3,26,0.0315,8.787460e-01,0.0161,9.379011e-01,9.840905e-01,NO
HbT,Occipital,entropy__mse,entropy__mse,0_to_2,26,0.4226,3.150263e-02,0.4721,1.487884e-02,6.650077e-01,YES
HbT,Occipital,entropy__mse,entropy__mse,0_to_3,26,0.3668,6.532796e-02,0.3586,7.199857e-02,7.523053e-01,NO
HbT,Occipital,entropy__mse,entropy__mse,2_to_3,26,0.0352,8.643993e-01,-0.0120,9.537366e-01,9.828696e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.3341,9.530154e-02,0.3648,6.690718e-02,8.270581e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.1712,4.030244e-01,0.1398,4.956916e-01,9.263788e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.3842,5.262797e-02,-0.2362,2.452829e-01,6.948783e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__mse,0_to_2,26,0.2882,1.534327e-01,0.3668,6.527318e-02,8.882456e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__mse,0_to_3,26,0.1244,5.448878e-01,0.0366,8.591836e-01,9.263788e-01,NO
HbT,Parietal,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.3515,7.828045e-02,-0.1515,4.601756e-01,7.920661e-01,NO
HbT,Parietal,entropy__mse,entropy__sample_entropy,0_to_2,26,0.3173,1.142145e-01,0.4304,2.816590e-02,8.593666e-01,NO
HbT,Parietal,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2313,2.555706e-01,0.2643,1.920287e-01,9.142246e-01,NO
HbT,Parietal,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.1119,5.862184e-01,0.0168,9.352639e-01,9.331281e-01,NO
HbT,Parietal,entropy__mse,entropy__mse,0_to_2,26,0.2898,1.509344e-01,0.4284,2.900902e-02,8.882456e-01,NO
HbT,Parietal,entropy__mse,entropy__mse,0_to_3,26,0.1919,3.475482e-01,0.1556,4.479672e-01,9.263788e-01,NO
HbT,Parietal,entropy__mse,entropy__mse,2_to_3,26,-0.1326,5.184598e-01,0.0202,9.220885e-01,9.263788e-01,NO
HbT,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_2,26,0.5175,6.784035e-03,0.6267,6.138130e-04,4.758187e-01,YES
HbT,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,0_to_3,26,0.2114,2.999488e-01,0.1850,3.657000e-01,9.263788e-01,NO
HbT,WholeBrain,entropy__sample_entropy,entropy__sample_entropy,2_to_3,26,-0.2625,1.950923e-01,-0.0995,6.287119e-01,8.882456e-01,NO
HbT,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_2,26,0.4922,1.063939e-02,0.6109,9.156321e-04,5.405500e-01,YES
HbT,WholeBrain,entropy__sample_entropy,entropy__mse,0_to_3,26,0.1810,3.761430e-01,0.1234,5.480610e-01,9.263788e-01,NO
HbT,WholeBrain,entropy__sample_entropy,entropy__mse,2_to_3,26,-0.2619,1.961307e-01,-0.0913,6.574146e-01,8.882456e-01,NO
HbT,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_2,26,0.5517,3.477997e-03,0.6410,4.179412e-04,3.916313e-01,YES
HbT,WholeBrain,entropy__mse,entropy__sample_entropy,0_to_3,26,0.2159,2.893830e-01,0.1426,4.872138e-01,9.263788e-01,NO
HbT,WholeBrain,entropy__mse,entropy__sample_entropy,2_to_3,26,-0.2499,2.181534e-01,-0.0270,8.958010e-01,8.980320e-01,NO
HbT,WholeBrain,entropy__mse,entropy__mse,0_to_2,26,0.5308,5.276927e-03,0.6185,7.582286e-04,4.385377e-01,YES
HbT,WholeBrain,entropy__mse,entropy__mse,0_to_3,26,0.1828,3.715422e-01,0.0660,7.487785e-01,9.263788e-01,NO
HbT,WholeBrain,entropy__mse,entropy__mse,2_to_3,26,-0.2537,2.111321e-01,-0.0373,8.565779e-01,8.980320e-01,NO
