participant,region,0back,2back,3back,delta_0_to_2,delta_0_to_3,delta_2_to_3
VP005,Central,1.000992,1.018567,1.031409,0.017575,0.030416,0.012842
VP005,Frontal,0.765475,0.762747,0.791327,-0.002728,0.025852,0.028580
VP005,Occipital,1.181949,1.223393,1.237916,0.041444,0.055967,0.014523
VP005,Parietal,1.102136,1.130831,1.140788,0.028695,0.038653,0.009958
VP005,Temporal,1.217953,1.221074,1.245452,0.003121,0.027499,0.024378
VP005,WholeBrain,0.975863,0.990561,1.009663,0.014698,0.033800,0.019102
VP006,Central,0.768588,0.723851,0.727842,-0.044737,-0.040746,0.003990
VP006,Frontal,0.585610,0.521515,0.541112,-0.064094,-0.044498,0.019597
VP006,Occipital,0.926088,0.884252,0.882759,-0.041836,-0.043329,-0.001493
VP006,Parietal,0.915470,0.877651,0.883604,-0.037819,-0.031865,0.005954
VP006,Temporal,1.093243,1.006238,1.021581,-0.087005,-0.071662,0.015343
VP006,WholeBrain,0.783980,0.731154,0.742130,-0.052826,-0.041850,0.010976
VP007,Central,0.855149,0.899120,0.890603,0.043971,0.035454,-0.008516
VP007,Frontal,0.771350,0.736596,0.717507,-0.034755,-0.053843,-0.019088
VP007,Occipital,0.884279,0.946332,0.937929,0.062053,0.053650,-0.008403
VP007,Parietal,0.896383,0.954058,0.953928,0.057675,0.057544,-0.000131
VP007,Temporal,1.006409,1.032104,0.998648,0.025696,-0.007761,-0.033456
VP007,WholeBrain,0.849407,0.867487,0.855744,0.018080,0.006336,-0.011743
VP008,Central,0.843802,0.819437,0.842436,-0.024365,-0.001366,0.022999
VP008,Frontal,0.514279,0.470098,0.476351,-0.044181,-0.037928,0.006253
VP008,Occipital,0.955756,0.970672,0.998857,0.014917,0.043102,0.028185
VP008,Parietal,0.948872,0.968673,0.995543,0.019801,0.046671,0.026870
VP008,Temporal,0.933113,0.952628,0.985625,0.019515,0.052512,0.032997
VP008,WholeBrain,0.766494,0.755883,0.774817,-0.010611,0.008324,0.018934
VP009,Central,0.810562,0.733423,0.746921,-0.077139,-0.063641,0.013498
VP009,Frontal,0.455967,0.388590,0.400999,-0.067377,-0.054968,0.012408
VP009,Occipital,0.950158,0.971858,0.967588,0.021700,0.017430,-0.004270
VP009,Parietal,1.012964,0.995527,0.996979,-0.017437,-0.015985,0.001452
VP009,Temporal,1.315013,1.268405,1.268419,-0.046607,-0.046594,0.000014
VP009,WholeBrain,0.787304,0.745961,0.752292,-0.041343,-0.035012,0.006331
VP010,Central,0.869762,0.934968,0.926962,0.065206,0.057200,-0.008006
VP010,Frontal,0.717320,0.861228,0.845197,0.143908,0.127877,-0.016031
VP010,Occipital,0.902023,0.982524,0.995376,0.080500,0.093353,0.012853
VP010,Parietal,0.919095,1.007505,1.014451,0.088409,0.095356,0.006946
VP010,Temporal,1.064248,1.105050,1.124032,0.040802,0.059784,0.018982
VP010,WholeBrain,0.843079,0.946558,0.944368,0.103479,0.101288,-0.002190
VP011,Central,1.036209,1.071537,1.106041,0.035328,0.069832,0.034504
VP011,Frontal,0.957269,0.913358,0.943281,-0.043912,-0.013988,0.029923
VP011,Occipital,0.941659,0.957312,0.995617,0.015653,0.053957,0.038304
VP011,Parietal,1.045519,1.060766,1.089048,0.015247,0.043529,0.028282
VP011,Temporal,1.253613,1.253273,1.259282,-0.000341,0.005669,0.006009
VP011,WholeBrain,1.013588,1.006676,1.035752,-0.006912,0.022164,0.029076
VP012,Central,1.051734,0.870416,0.930925,-0.181319,-0.120809,0.060510
VP012,Frontal,0.882664,0.663477,0.743532,-0.219187,-0.139132,0.080055
VP012,Occipital,1.288249,1.280136,1.262754,-0.008113,-0.025495,-0.017382
VP012,Parietal,1.156139,1.047598,1.065130,-0.108541,-0.091010,0.017532
VP012,Temporal,1.164518,1.050500,1.089891,-0.114018,-0.074627,0.039391
VP012,WholeBrain,1.052270,0.902832,0.947351,-0.149438,-0.104918,0.044520
VP013,Central,1.011001,1.002931,0.996904,-0.008071,-0.014098,-0.006027
VP013,Frontal,0.669576,0.618123,0.608925,-0.051452,-0.060651,-0.009199
VP013,Occipital,0.991435,1.012514,1.013116,0.021079,0.021681,0.000602
VP013,Parietal,0.981714,0.994817,0.994787,0.013102,0.013072,-0.000030
VP013,Temporal,0.992549,1.006151,1.000720,0.013602,0.008171,-0.005432
VP013,WholeBrain,0.864042,0.850405,0.845813,-0.013637,-0.018229,-0.004593
VP014,Central,0.893188,0.787442,0.802636,-0.105746,-0.090552,0.015194
VP014,Frontal,0.626891,0.482689,0.488610,-0.144202,-0.138280,0.005921
VP014,Occipital,1.074492,1.025768,1.050884,-0.048724,-0.023608,0.025116
VP014,Parietal,1.052880,0.974456,0.998293,-0.078425,-0.054587,0.023837
VP014,Temporal,1.220954,1.125891,1.158950,-0.095063,-0.062004,0.033059
VP014,WholeBrain,0.882738,0.777539,0.794207,-0.105199,-0.088531,0.016669
VP015,Central,0.905006,0.941455,0.961930,0.036449,0.056924,0.020475
VP015,Frontal,0.501894,0.521741,0.533815,0.019848,0.031921,0.012073
VP015,Occipital,1.098770,1.175609,1.180691,0.076839,0.081921,0.005082
VP015,Parietal,1.038793,1.091620,1.096953,0.052828,0.058160,0.005332
VP015,Temporal,1.230058,1.211218,1.190632,-0.018841,-0.039426,-0.020585
VP015,WholeBrain,0.833622,0.869192,0.876917,0.035570,0.043295,0.007725
VP016,Central,0.606722,0.551095,0.548672,-0.055627,-0.058050,-0.002423
VP016,Frontal,0.299049,0.273782,0.273550,-0.025267,-0.025499,-0.000231
VP016,Occipital,0.916270,0.863299,0.888286,-0.052971,-0.027984,0.024987
VP016,Parietal,0.817483,0.753429,0.765595,-0.064053,-0.051887,0.012166
VP016,Temporal,1.050744,0.953794,0.961175,-0.096950,-0.089570,0.007381
VP016,WholeBrain,0.618477,0.569401,0.576166,-0.049075,-0.042311,0.006764
VP017,Central,0.907584,0.970468,0.983364,0.062884,0.075780,0.012896
VP017,Frontal,0.688149,0.761106,0.766847,0.072958,0.078698,0.005740
VP017,Occipital,0.945414,1.036336,1.041806,0.090922,0.096392,0.005470
VP017,Parietal,0.983913,1.067528,1.075332,0.083615,0.091420,0.007804
VP017,Temporal,1.195231,1.216510,1.213437,0.021279,0.018206,-0.003073
VP017,WholeBrain,0.870511,0.944048,0.950560,0.073537,0.080049,0.006512
VP018,Central,0.842685,0.935443,0.944904,0.092758,0.102219,0.009461
VP018,Frontal,0.688166,0.713417,0.726845,0.025252,0.038680,0.013428
VP018,Occipital,0.775952,0.909104,0.926820,0.133152,0.150867,0.017716
VP018,Parietal,0.735764,0.864459,0.881145,0.128695,0.145381,0.016685
VP018,Temporal,0.835826,0.974891,0.986077,0.139066,0.150251,0.011186
VP018,WholeBrain,0.739974,0.825398,0.839747,0.085424,0.099774,0.014349
VP019,Central,0.730274,0.745569,0.747701,0.015294,0.017426,0.002132
VP019,Frontal,0.616390,0.626828,0.613808,0.010438,-0.002581,-0.013019
VP019,Occipital,0.872960,0.925510,0.921804,0.052549,0.048844,-0.003705
VP019,Parietal,0.851196,0.879680,0.881088,0.028485,0.029893,0.001408
VP019,Temporal,1.174220,1.173206,1.155909,-0.001015,-0.018311,-0.017296
VP019,WholeBrain,0.771400,0.791853,0.785786,0.020453,0.014387,-0.006066
VP020,Central,0.916624,0.838006,0.843106,-0.078618,-0.073518,0.005101
VP020,Frontal,0.679372,0.564470,0.564275,-0.114902,-0.115096,-0.000194
VP020,Occipital,0.932355,0.926689,0.918483,-0.005666,-0.013872,-0.008206
VP020,Parietal,0.970912,0.934795,0.926220,-0.036117,-0.044692,-0.008575
VP020,Temporal,1.073367,1.052166,1.006292,-0.021201,-0.067076,-0.045874
VP020,WholeBrain,0.853749,0.786455,0.780013,-0.067294,-0.073736,-0.006442
VP021,Central,0.797389,0.802409,0.811919,0.005020,0.014530,0.009511
VP021,Frontal,0.524960,0.520199,0.531399,-0.004761,0.006439,0.011200
VP021,Occipital,1.000816,1.025032,1.039697,0.024216,0.038881,0.014665
VP021,Parietal,0.871734,0.876269,0.900710,0.004535,0.028975,0.024440
VP021,Temporal,0.815031,0.834191,0.821539,0.019160,0.006508,-0.012652
VP021,WholeBrain,0.737316,0.741404,0.755346,0.004088,0.018030,0.013942
VP022,Central,1.250408,1.263798,1.264269,0.013390,0.013861,0.000471
VP022,Frontal,1.141361,1.125091,1.129196,-0.016270,-0.012165,0.004105
VP022,Occipital,1.293908,1.322731,1.320388,0.028824,0.026481,-0.002343
VP022,Parietal,1.281383,1.308982,1.309633,0.027600,0.028251,0.000651
VP022,Temporal,1.347612,1.350944,1.356954,0.003331,0.009342,0.006010
VP022,WholeBrain,1.229128,1.236368,1.238419,0.007240,0.009291,0.002051
VP023,Central,1.108100,1.052190,1.067377,-0.055910,-0.040723,0.015187
VP023,Frontal,0.889167,0.749948,0.753386,-0.139219,-0.135781,0.003438
VP023,Occipital,1.121482,1.193286,1.198450,0.071804,0.076968,0.005164
VP023,Parietal,1.167748,1.194821,1.206916,0.027073,0.039168,0.012095
VP023,Temporal,1.261739,1.224844,1.245354,-0.036895,-0.016385,0.020510
VP023,WholeBrain,1.053671,1.006747,1.015631,-0.046924,-0.038040,0.008884
VP024,Central,1.324095,1.378905,1.370922,0.054811,0.046827,-0.007984
VP024,Frontal,1.245622,1.316612,1.314630,0.070989,0.069007,-0.001982
VP024,Occipital,1.260179,1.376877,1.362699,0.116698,0.102521,-0.014178
VP024,Parietal,1.321334,1.391264,1.382688,0.069929,0.061354,-0.008576
VP024,Temporal,1.374892,1.384910,1.379691,0.010019,0.004799,-0.005220
VP024,WholeBrain,1.289159,1.358617,1.352334,0.069458,0.063175,-0.006282
VP025,Central,0.804801,0.700339,0.702806,-0.104462,-0.101996,0.002467
VP025,Frontal,0.564574,0.444815,0.453419,-0.119759,-0.111155,0.008604
VP025,Occipital,1.063805,1.063745,1.082744,-0.000059,0.018939,0.018999
VP025,Parietal,1.006198,0.956537,0.969362,-0.049661,-0.036836,0.012825
VP025,Temporal,1.160674,1.056507,1.058348,-0.104168,-0.102326,0.001842
VP025,WholeBrain,0.828331,0.746681,0.756615,-0.081650,-0.071716,0.009934
VP026,Central,0.906965,0.958571,0.997898,0.051606,0.090933,0.039327
VP026,Frontal,0.762629,0.826059,0.874385,0.063431,0.111756,0.048326
VP026,Occipital,1.030096,1.142851,1.195029,0.112755,0.164932,0.052177
VP026,Parietal,0.977525,1.070107,1.125666,0.092582,0.148140,0.055558
VP026,Temporal,1.151609,1.245217,1.274991,0.093609,0.123382,0.029774
VP026,WholeBrain,0.903609,0.982583,1.031357,0.078974,0.127748,0.048774
