chromophore,region,lag_seconds_eeg_leads_nirs,eeg_measure,nirs_measure,n_participants,fisher_mean_pearson_r,fisher_z_t,group_p,group_q_global,significant_p05
HbO,Frontal,6.0,entropy__mse,entropy__sample_entropy,26,-0.0335,-1.3015,2.049578e-01,7.171738e-01,NO
HbO,Frontal,6.0,entropy__sample_entropy,entropy__mse,26,-0.0254,-1.0021,3.259085e-01,7.811472e-01,NO
HbO,Frontal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0265,-1.0521,3.028233e-01,7.766512e-01,NO
HbO,Frontal,8.0,entropy__mse,entropy__mse,26,-0.0401,-1.6156,1.187391e-01,6.851384e-01,NO
HbO,Frontal,8.0,entropy__mse,entropy__sample_entropy,26,-0.0381,-1.5561,1.322593e-01,6.934565e-01,NO
HbO,Frontal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0328,-1.3190,1.991230e-01,7.171738e-01,NO
HbO,Frontal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0319,-1.3029,2.044815e-01,7.171738e-01,NO
HbO,Occipital,0.0,entropy__mse,entropy__mse,26,-0.0127,-0.5595,5.807682e-01,8.856112e-01,NO
HbO,Occipital,0.0,entropy__mse,entropy__sample_entropy,26,-0.0087,-0.3909,6.992053e-01,9.253077e-01,NO
HbO,Occipital,0.0,entropy__sample_entropy,entropy__mse,26,0.0132,0.4979,6.228812e-01,8.986249e-01,NO
HbO,Occipital,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0154,0.6380,5.292555e-01,8.574317e-01,NO
HbO,Occipital,2.0,entropy__mse,entropy__mse,26,-0.0173,-0.7334,4.701452e-01,8.362849e-01,NO
HbO,Occipital,2.0,entropy__mse,entropy__sample_entropy,26,-0.0150,-0.6402,5.278953e-01,8.557633e-01,NO
HbO,Occipital,2.0,entropy__sample_entropy,entropy__mse,26,0.0104,0.3920,6.983771e-01,9.246599e-01,NO
HbO,Occipital,2.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0118,0.4847,6.321044e-01,9.014446e-01,NO
HbO,Occipital,4.0,entropy__mse,entropy__mse,26,-0.0182,-0.6706,5.086401e-01,8.521513e-01,NO
HbO,Occipital,4.0,entropy__mse,entropy__sample_entropy,26,-0.0137,-0.5156,6.106737e-01,8.925735e-01,NO
HbO,Occipital,4.0,entropy__sample_entropy,entropy__mse,26,0.0062,0.2304,8.196435e-01,9.609741e-01,NO
HbO,Occipital,4.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0087,0.3467,7.317374e-01,9.307346e-01,NO
HbO,Occipital,6.0,entropy__mse,entropy__mse,26,-0.0181,-0.7038,4.880822e-01,8.425091e-01,NO
HbO,Occipital,6.0,entropy__mse,entropy__sample_entropy,26,-0.0125,-0.5019,6.201138e-01,8.958011e-01,NO
HbO,Occipital,6.0,entropy__sample_entropy,entropy__mse,26,0.0059,0.2312,8.190443e-01,9.609741e-01,NO
HbO,Occipital,6.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0083,0.3480,7.307696e-01,9.307346e-01,NO
HbO,Occipital,8.0,entropy__mse,entropy__mse,26,-0.0254,-1.0417,3.075013e-01,7.782166e-01,NO
HbO,Occipital,8.0,entropy__mse,entropy__sample_entropy,26,-0.0196,-0.8618,3.969632e-01,8.118196e-01,NO
HbO,Occipital,8.0,entropy__sample_entropy,entropy__mse,26,0.0058,0.2451,8.083740e-01,9.561085e-01,NO
HbO,Occipital,8.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0083,0.3704,7.141736e-01,9.295536e-01,NO
HbO,Parietal,0.0,entropy__mse,entropy__mse,26,0.0197,0.8265,4.163159e-01,8.225597e-01,NO
HbO,Parietal,0.0,entropy__mse,entropy__sample_entropy,26,0.0273,1.1069,2.788796e-01,7.642673e-01,NO
HbO,Parietal,0.0,entropy__sample_entropy,entropy__mse,26,0.0166,0.7069,4.861922e-01,8.424123e-01,NO
HbO,Parietal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0231,0.9262,3.632038e-01,7.991188e-01,NO
HbO,Parietal,2.0,entropy__mse,entropy__mse,26,0.0141,0.5857,5.633565e-01,8.768906e-01,NO
HbO,Parietal,2.0,entropy__mse,entropy__sample_entropy,26,0.0186,0.7408,4.657409e-01,8.308728e-01,NO
HbO,Parietal,2.0,entropy__sample_entropy,entropy__mse,26,0.0122,0.5270,6.028668e-01,8.912589e-01,NO
HbO,Parietal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0178,0.7218,4.770969e-01,8.364070e-01,NO
HbO,Parietal,4.0,entropy__mse,entropy__mse,26,0.0167,0.6773,5.044306e-01,8.521513e-01,NO
HbO,Parietal,4.0,entropy__mse,entropy__sample_entropy,26,0.0240,0.9202,3.662725e-01,8.007444e-01,NO
HbO,Parietal,4.0,entropy__sample_entropy,entropy__mse,26,0.0081,0.3506,7.288300e-01,9.307346e-01,NO
HbO,Parietal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0148,0.5912,5.596777e-01,8.768906e-01,NO
HbO,Parietal,6.0,entropy__mse,entropy__mse,26,0.0186,0.7928,4.353613e-01,8.277916e-01,NO
HbO,Parietal,6.0,entropy__mse,entropy__sample_entropy,26,0.0277,1.0836,2.889036e-01,7.697604e-01,NO
HbO,Parietal,6.0,entropy__sample_entropy,entropy__mse,26,0.0063,0.2937,7.714490e-01,9.406275e-01,NO
HbO,Parietal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0134,0.5638,5.779053e-01,8.846746e-01,NO
HbO,Parietal,8.0,entropy__mse,entropy__mse,26,0.0076,0.3249,7.479356e-01,9.350190e-01,NO
HbO,Parietal,8.0,entropy__mse,entropy__sample_entropy,26,0.0182,0.7002,4.902502e-01,8.446645e-01,NO
HbO,Parietal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0013,-0.0630,9.502731e-01,9.915385e-01,NO
HbO,Parietal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0054,0.2341,8.167970e-01,9.605532e-01,NO
HbO,WholeBrain,0.0,entropy__mse,entropy__mse,26,-0.0148,-0.5036,6.189388e-01,8.955119e-01,NO
HbO,WholeBrain,0.0,entropy__mse,entropy__sample_entropy,26,-0.0070,-0.2419,8.108431e-01,9.573891e-01,NO
HbO,WholeBrain,0.0,entropy__sample_entropy,entropy__mse,26,-0.0057,-0.2142,8.320945e-01,9.621792e-01,NO
HbO,WholeBrain,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0002,0.0080,9.936857e-01,9.977582e-01,NO
HbO,WholeBrain,2.0,entropy__mse,entropy__mse,26,-0.0257,-0.9290,3.617481e-01,7.979738e-01,NO
HbO,WholeBrain,2.0,entropy__mse,entropy__sample_entropy,26,-0.0197,-0.7102,4.841335e-01,8.408274e-01,NO
HbO,WholeBrain,2.0,entropy__sample_entropy,entropy__mse,26,-0.0106,-0.4062,6.880624e-01,9.188693e-01,NO
HbO,WholeBrain,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0055,-0.2182,8.290157e-01,9.621792e-01,NO
HbO,WholeBrain,4.0,entropy__mse,entropy__mse,26,-0.0215,-0.7720,4.473581e-01,8.278001e-01,NO
HbO,WholeBrain,4.0,entropy__mse,entropy__sample_entropy,26,-0.0138,-0.4916,6.272747e-01,9.004889e-01,NO
HbO,WholeBrain,4.0,entropy__sample_entropy,entropy__mse,26,-0.0095,-0.3618,7.205474e-01,9.295536e-01,NO
HbO,WholeBrain,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0031,-0.1225,9.034679e-01,9.781238e-01,NO
HbO,WholeBrain,6.0,entropy__mse,entropy__mse,26,-0.0235,-0.8867,3.837008e-01,8.085543e-01,NO
HbO,WholeBrain,6.0,entropy__mse,entropy__sample_entropy,26,-0.0154,-0.5823,5.655779e-01,8.784566e-01,NO
HbO,WholeBrain,6.0,entropy__sample_entropy,entropy__mse,26,-0.0118,-0.4573,6.514342e-01,9.079707e-01,NO
HbO,WholeBrain,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0055,-0.2221,8.260675e-01,9.621792e-01,NO
HbO,WholeBrain,8.0,entropy__mse,entropy__mse,26,-0.0294,-1.1219,2.725449e-01,7.595351e-01,NO
HbO,WholeBrain,8.0,entropy__mse,entropy__sample_entropy,26,-0.0197,-0.7503,4.600874e-01,8.278001e-01,NO
HbO,WholeBrain,8.0,entropy__sample_entropy,entropy__mse,26,-0.0171,-0.6768,5.047496e-01,8.521513e-01,NO
HbO,WholeBrain,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0101,-0.4067,6.877052e-01,9.188693e-01,NO
HbR,Central,0.0,entropy__mse,entropy__mse,26,-0.0429,-1.6730,1.067903e-01,6.685765e-01,NO
HbR,Central,0.0,entropy__mse,entropy__sample_entropy,26,-0.0341,-1.2543,2.213495e-01,7.243629e-01,NO
HbR,Central,0.0,entropy__sample_entropy,entropy__mse,26,-0.0441,-1.5734,1.281950e-01,6.934565e-01,NO
HbR,Central,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0375,-1.2578,2.201003e-01,7.240144e-01,NO
HbR,Central,2.0,entropy__mse,entropy__mse,26,-0.0479,-2.0210,5.411671e-02,5.960375e-01,NO
HbR,Central,2.0,entropy__mse,entropy__sample_entropy,26,-0.0405,-1.6017,1.217768e-01,6.851384e-01,NO
HbR,Central,2.0,entropy__sample_entropy,entropy__mse,26,-0.0489,-1.8187,8.095652e-02,6.097769e-01,NO
HbR,Central,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0432,-1.5215,1.406916e-01,6.934565e-01,NO
HbR,Central,4.0,entropy__mse,entropy__mse,26,-0.0406,-1.5810,1.264436e-01,6.894367e-01,NO
HbR,Central,4.0,entropy__mse,entropy__sample_entropy,26,-0.0332,-1.2314,2.296422e-01,7.265467e-01,NO
HbR,Central,4.0,entropy__sample_entropy,entropy__mse,26,-0.0466,-1.6458,1.123198e-01,6.799625e-01,NO
HbR,Central,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0404,-1.3416,1.917910e-01,7.156628e-01,NO
HbR,Central,6.0,entropy__mse,entropy__mse,26,-0.0350,-1.2816,2.117304e-01,7.215649e-01,NO
HbR,Central,6.0,entropy__mse,entropy__sample_entropy,26,-0.0288,-1.0368,3.097673e-01,7.782166e-01,NO
HbR,Central,6.0,entropy__sample_entropy,entropy__mse,26,-0.0439,-1.5338,1.376394e-01,6.934565e-01,NO
HbR,Central,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0388,-1.2919,2.082074e-01,7.215649e-01,NO
HbR,Central,8.0,entropy__mse,entropy__mse,26,-0.0396,-1.3499,1.891412e-01,7.156628e-01,NO
HbR,Central,8.0,entropy__mse,entropy__sample_entropy,26,-0.0347,-1.1706,2.528077e-01,7.451468e-01,NO
HbR,Central,8.0,entropy__sample_entropy,entropy__mse,26,-0.0415,-1.4799,1.513812e-01,6.934565e-01,NO
HbR,Central,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0358,-1.2100,2.375801e-01,7.340455e-01,NO
HbR,Frontal,0.0,entropy__mse,entropy__mse,26,-0.0342,-1.2666,2.169664e-01,7.232184e-01,NO
HbR,Frontal,0.0,entropy__mse,entropy__sample_entropy,26,-0.0241,-0.9508,3.508109e-01,7.936381e-01,NO
HbR,Frontal,0.0,entropy__sample_entropy,entropy__mse,26,-0.0315,-1.1841,2.475039e-01,7.451468e-01,NO
HbR,Frontal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0218,-0.8619,3.969187e-01,8.118196e-01,NO
HbR,Frontal,2.0,entropy__mse,entropy__mse,26,-0.0380,-1.3848,1.783462e-01,7.155265e-01,NO
HbR,Frontal,2.0,entropy__mse,entropy__sample_entropy,26,-0.0283,-1.0984,2.825102e-01,7.673502e-01,NO
HbR,Frontal,2.0,entropy__sample_entropy,entropy__mse,26,-0.0357,-1.2757,2.138026e-01,7.215649e-01,NO
HbR,Frontal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0267,-1.0102,3.220664e-01,7.782166e-01,NO
HbR,Frontal,4.0,entropy__mse,entropy__mse,26,-0.0467,-1.6104,1.198592e-01,6.851384e-01,NO
HbR,Frontal,4.0,entropy__mse,entropy__sample_entropy,26,-0.0358,-1.3428,1.914166e-01,7.156628e-01,NO
HbR,Frontal,4.0,entropy__sample_entropy,entropy__mse,26,-0.0441,-1.5115,1.432115e-01,6.934565e-01,NO
HbR,Frontal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0335,-1.2274,2.311110e-01,7.265467e-01,NO
HbR,Frontal,6.0,entropy__mse,entropy__mse,26,-0.0465,-1.5439,1.351740e-01,6.934565e-01,NO
HbR,Frontal,6.0,entropy__mse,entropy__sample_entropy,26,-0.0361,-1.2818,2.116687e-01,7.215649e-01,NO
HbR,Frontal,6.0,entropy__sample_entropy,entropy__mse,26,-0.0470,-1.5712,1.287104e-01,6.934565e-01,NO
HbR,Frontal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0367,-1.3061,2.034017e-01,7.171738e-01,NO
HbR,Frontal,8.0,entropy__mse,entropy__mse,26,-0.0410,-1.4090,1.711605e-01,7.080746e-01,NO
HbR,Frontal,8.0,entropy__mse,entropy__sample_entropy,26,-0.0340,-1.2461,2.242805e-01,7.258976e-01,NO
HbR,Frontal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0446,-1.5115,1.432027e-01,6.934565e-01,NO
HbR,Frontal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0372,-1.3358,1.936402e-01,7.156628e-01,NO
HbR,Occipital,0.0,entropy__mse,entropy__mse,26,0.0103,0.4000,6.925806e-01,9.201858e-01,NO
HbR,Occipital,0.0,entropy__mse,entropy__sample_entropy,26,0.0085,0.3493,7.298191e-01,9.307346e-01,NO
HbR,Occipital,0.0,entropy__sample_entropy,entropy__mse,26,-0.0061,-0.2111,8.345040e-01,9.621792e-01,NO
HbR,Occipital,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0090,-0.3280,7.456062e-01,9.348696e-01,NO
HbR,Occipital,2.0,entropy__mse,entropy__mse,26,0.0100,0.4206,6.776464e-01,9.187055e-01,NO
HbR,Occipital,2.0,entropy__mse,entropy__sample_entropy,26,0.0096,0.4150,6.816794e-01,9.188693e-01,NO
HbR,Occipital,2.0,entropy__sample_entropy,entropy__mse,26,-0.0098,-0.3536,7.266140e-01,9.307346e-01,NO
HbR,Occipital,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0122,-0.4580,6.509349e-01,9.079509e-01,NO
HbR,Occipital,4.0,entropy__mse,entropy__mse,26,0.0087,0.3822,7.055788e-01,9.267454e-01,NO
HbR,Occipital,4.0,entropy__mse,entropy__sample_entropy,26,0.0104,0.5082,6.157732e-01,8.940998e-01,NO
HbR,Occipital,4.0,entropy__sample_entropy,entropy__mse,26,-0.0174,-0.6571,5.171248e-01,8.521513e-01,NO
HbR,Occipital,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0170,-0.6763,5.050284e-01,8.521513e-01,NO
HbR,Occipital,6.0,entropy__mse,entropy__mse,26,0.0151,0.7223,4.767831e-01,8.364070e-01,NO
HbR,Occipital,6.0,entropy__mse,entropy__sample_entropy,26,0.0223,1.1022,2.808779e-01,7.668036e-01,NO
HbR,Occipital,6.0,entropy__sample_entropy,entropy__mse,26,-0.0136,-0.5428,5.920961e-01,8.885075e-01,NO
HbR,Occipital,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0096,-0.3976,6.942890e-01,9.213139e-01,NO
HbR,Occipital,8.0,entropy__mse,entropy__mse,26,0.0225,1.0825,2.893617e-01,7.697604e-01,NO
HbR,Occipital,8.0,entropy__mse,entropy__sample_entropy,26,0.0340,1.6882,1.038088e-01,6.611738e-01,NO
HbR,Occipital,8.0,entropy__sample_entropy,entropy__mse,26,-0.0129,-0.5223,6.060371e-01,8.914656e-01,NO
HbR,Occipital,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0072,-0.3035,7.640167e-01,9.397844e-01,NO
HbR,Parietal,0.0,entropy__mse,entropy__mse,26,-0.0312,-0.8803,3.870756e-01,8.086997e-01,NO
HbR,Parietal,0.0,entropy__mse,entropy__sample_entropy,26,-0.0274,-0.8069,4.273529e-01,8.239489e-01,NO
HbR,Parietal,0.0,entropy__sample_entropy,entropy__mse,26,-0.0290,-0.9165,3.681615e-01,8.024873e-01,NO
HbR,Parietal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0194,-0.6659,5.115825e-01,8.521513e-01,NO
HbR,Parietal,2.0,entropy__mse,entropy__mse,26,-0.0216,-0.6325,5.328200e-01,8.613090e-01,NO
HbR,Parietal,2.0,entropy__mse,entropy__sample_entropy,26,-0.0193,-0.5936,5.581003e-01,8.768906e-01,NO
HbR,Parietal,2.0,entropy__sample_entropy,entropy__mse,26,-0.0253,-0.8206,4.196478e-01,8.235510e-01,NO
HbR,Parietal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0173,-0.6171,5.427342e-01,8.644844e-01,NO
HbR,Parietal,4.0,entropy__mse,entropy__mse,26,-0.0263,-0.7637,4.521965e-01,8.278001e-01,NO
HbR,Parietal,4.0,entropy__mse,entropy__sample_entropy,26,-0.0210,-0.6375,5.296245e-01,8.574317e-01,NO
HbR,Parietal,4.0,entropy__sample_entropy,entropy__mse,26,-0.0302,-0.9421,3.551332e-01,7.962090e-01,NO
HbR,Parietal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0218,-0.7416,4.652459e-01,8.308728e-01,NO
HbR,Parietal,6.0,entropy__mse,entropy__mse,26,-0.0204,-0.5626,5.786967e-01,8.846746e-01,NO
HbR,Parietal,6.0,entropy__mse,entropy__sample_entropy,26,-0.0174,-0.5025,6.197255e-01,8.957848e-01,NO
HbR,Parietal,6.0,entropy__sample_entropy,entropy__mse,26,-0.0296,-0.9025,3.754119e-01,8.039853e-01,NO
HbR,Parietal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0239,-0.7868,4.387845e-01,8.278001e-01,NO
HbR,Parietal,8.0,entropy__mse,entropy__mse,26,-0.0146,-0.4331,6.686308e-01,9.144839e-01,NO
HbR,Parietal,8.0,entropy__mse,entropy__sample_entropy,26,-0.0111,-0.3529,7.271252e-01,9.307346e-01,NO
HbR,Parietal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0248,-0.7850,4.398260e-01,8.278001e-01,NO
HbR,Parietal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0208,-0.7045,4.876095e-01,8.425091e-01,NO
HbR,WholeBrain,0.0,entropy__mse,entropy__mse,26,-0.0389,-1.2895,2.090363e-01,7.215649e-01,NO
HbR,WholeBrain,0.0,entropy__mse,entropy__sample_entropy,26,-0.0304,-0.9971,3.282744e-01,7.823660e-01,NO
HbR,WholeBrain,0.0,entropy__sample_entropy,entropy__mse,26,-0.0372,-1.2449,2.247282e-01,7.258976e-01,NO
HbR,WholeBrain,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0284,-0.9363,3.580740e-01,7.962090e-01,NO
HbR,WholeBrain,2.0,entropy__mse,entropy__mse,26,-0.0378,-1.3193,1.990137e-01,7.171738e-01,NO
HbR,WholeBrain,2.0,entropy__mse,entropy__sample_entropy,26,-0.0285,-0.9759,3.384615e-01,7.884268e-01,NO
HbR,WholeBrain,2.0,entropy__sample_entropy,entropy__mse,26,-0.0387,-1.3171,1.997558e-01,7.171738e-01,NO
HbR,WholeBrain,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0300,-1.0085,3.228818e-01,7.791140e-01,NO
HbR,WholeBrain,4.0,entropy__mse,entropy__mse,26,-0.0413,-1.3281,1.961522e-01,7.158728e-01,NO
HbR,WholeBrain,4.0,entropy__mse,entropy__sample_entropy,26,-0.0300,-0.9477,3.523697e-01,7.944531e-01,NO
HbR,WholeBrain,4.0,entropy__sample_entropy,entropy__mse,26,-0.0432,-1.3612,1.856078e-01,7.156628e-01,NO
HbR,WholeBrain,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0325,-1.0040,3.249986e-01,7.811444e-01,NO
HbR,WholeBrain,6.0,entropy__mse,entropy__mse,26,-0.0384,-1.2015,2.408217e-01,7.360595e-01,NO
HbR,WholeBrain,6.0,entropy__mse,entropy__sample_entropy,26,-0.0288,-0.8855,3.843391e-01,8.085543e-01,NO
HbR,WholeBrain,6.0,entropy__sample_entropy,entropy__mse,26,-0.0451,-1.4935,1.478161e-01,6.934565e-01,NO
HbR,WholeBrain,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0348,-1.1289,2.696758e-01,7.581268e-01,NO
HbR,WholeBrain,8.0,entropy__mse,entropy__mse,26,-0.0307,-1.0546,3.017020e-01,7.765027e-01,NO
HbR,WholeBrain,8.0,entropy__mse,entropy__sample_entropy,26,-0.0212,-0.7201,4.781420e-01,8.367485e-01,NO
HbR,WholeBrain,8.0,entropy__sample_entropy,entropy__mse,26,-0.0395,-1.3567,1.869991e-01,7.156628e-01,NO
HbR,WholeBrain,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0301,-1.0228,3.161989e-01,7.782166e-01,NO
HbT,Central,0.0,entropy__mse,entropy__mse,26,-0.0090,-0.3627,7.198727e-01,9.295536e-01,NO
HbT,Central,0.0,entropy__mse,entropy__sample_entropy,26,-0.0014,-0.0563,9.555792e-01,9.915385e-01,NO
HbT,Central,0.0,entropy__sample_entropy,entropy__mse,26,-0.0170,-0.7279,4.734327e-01,8.364070e-01,NO
HbT,Central,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0066,-0.2752,7.854523e-01,9.454757e-01,NO
HbT,Central,2.0,entropy__mse,entropy__mse,26,-0.0119,-0.4732,6.401549e-01,9.037302e-01,NO
HbT,Central,2.0,entropy__mse,entropy__sample_entropy,26,-0.0051,-0.1986,8.442030e-01,9.664940e-01,NO
HbT,Central,2.0,entropy__sample_entropy,entropy__mse,26,-0.0188,-0.8169,4.216981e-01,8.238918e-01,NO
HbT,Central,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0096,-0.4029,6.904790e-01,9.190490e-01,NO
HbT,Central,4.0,entropy__mse,entropy__mse,26,-0.0148,-0.6037,5.515078e-01,8.706148e-01,NO
HbT,Central,4.0,entropy__mse,entropy__sample_entropy,26,-0.0048,-0.1866,8.534704e-01,9.698250e-01,NO
HbT,Central,4.0,entropy__sample_entropy,entropy__mse,26,-0.0216,-0.9226,3.650232e-01,7.994399e-01,NO
HbT,Central,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0103,-0.4217,6.768298e-01,9.187055e-01,NO
HbT,Central,6.0,entropy__mse,entropy__mse,26,-0.0126,-0.5210,6.069244e-01,8.914656e-01,NO
HbT,Central,6.0,entropy__mse,entropy__sample_entropy,26,-0.0031,-0.1211,9.045948e-01,9.781238e-01,NO
HbT,Central,6.0,entropy__sample_entropy,entropy__mse,26,-0.0213,-0.9252,3.637318e-01,7.991188e-01,NO
HbT,Central,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0125,-0.5140,6.117736e-01,8.925735e-01,NO
HbT,Central,8.0,entropy__mse,entropy__mse,26,-0.0205,-0.7906,4.365891e-01,8.277916e-01,NO
HbT,Central,8.0,entropy__mse,entropy__sample_entropy,26,-0.0114,-0.4185,6.791909e-01,9.188693e-01,NO
