participant,load,region,measure,contrast,balanced_contrast_mean,resample_sd,resample_ci2_5,resample_ci97_5
VP001,2,Temporal,entropy__sample_entropy,2T_minus_2NT,-0.016315584734051848,0.01559230797798947,-0.04631700567144641,0.013458389762334684
VP001,2,Temporal,entropy__mse,2T_minus_2NT,-0.002080366138978322,0.020408023131793598,-0.042963556173918935,0.03727611162836916
VP001,2,Temporal,sensitivity__mse__scale1,2T_minus_2NT,-0.016315584734051848,0.01559230797798947,-0.04631700567144641,0.013458389762334684
VP001,2,Temporal,sensitivity__mse__scale2,2T_minus_2NT,-0.02670285889115909,0.02531398542564933,-0.07631297869411245,0.022304710342356673
VP001,2,Temporal,sensitivity__mse__scale3,2T_minus_2NT,0.06089290715769194,0.03437055063945164,-0.006992802475428538,0.12523546400978136
VP001,2,Temporal,sensitivity__mse__scale4,2T_minus_2NT,-0.023251158196547467,0.03559551906049401,-0.09378670968716857,0.04302451472771468
VP001,2,Temporal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP001,2,WholeBrain,entropy__sample_entropy,2T_minus_2NT,-0.028723755292446695,0.010780077630398765,-0.049534032112521234,-0.009377581939066473
VP001,2,WholeBrain,entropy__mse,2T_minus_2NT,-0.037510603792537366,0.014369303606539544,-0.06509960504665516,-0.01053349254053899
VP001,2,WholeBrain,sensitivity__mse__scale1,2T_minus_2NT,-0.028723755292446695,0.010780077630398765,-0.049534032112521234,-0.009377581939066473
VP001,2,WholeBrain,sensitivity__mse__scale2,2T_minus_2NT,-0.04888964589426016,0.015809083942726305,-0.08007356451583511,-0.018672699036949274
VP001,2,WholeBrain,sensitivity__mse__scale3,2T_minus_2NT,-0.04521950522378918,0.018980821176746224,-0.0808121811744883,-0.007583431525049614
VP001,2,WholeBrain,sensitivity__mse__scale4,2T_minus_2NT,-0.027576594891680274,0.018072211934941813,-0.06375322131980406,0.006984836291220611
VP001,2,WholeBrain,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP001,3,Central,entropy__sample_entropy,3T_minus_3NT,0.0012447318333679346,0.01612793791676742,-0.02960844251226489,0.03266948906364395
VP001,3,Central,entropy__mse,3T_minus_3NT,-0.008302285143783774,0.022087540416899736,-0.04927247628807907,0.033694813072805745
VP001,3,Central,sensitivity__mse__scale1,3T_minus_3NT,0.0012447318333679346,0.01612793791676742,-0.02960844251226489,0.03266948906364395
VP001,3,Central,sensitivity__mse__scale2,3T_minus_3NT,-0.017627674382874537,0.026148572545904455,-0.06729731365242336,0.03371572815586021
VP001,3,Central,sensitivity__mse__scale3,3T_minus_3NT,-0.0729833640352782,0.02997474927273114,-0.12654981826179806,-0.013836103627931463
VP001,3,Central,sensitivity__mse__scale4,3T_minus_3NT,0.05604452407960538,0.03423499595955178,-0.014755154993612423,0.12222413061318807
VP001,3,Central,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP001,3,Frontal,entropy__sample_entropy,3T_minus_3NT,0.0024453515520521576,0.015527193528286949,-0.028062007656504715,0.03177771899702047
VP001,3,Frontal,entropy__mse,3T_minus_3NT,-0.005554661927337669,0.021413682921606097,-0.0471010042182751,0.034685804567509144
VP001,3,Frontal,sensitivity__mse__scale1,3T_minus_3NT,0.0024453515520521576,0.015527193528286949,-0.028062007656504715,0.03177771899702047
VP001,3,Frontal,sensitivity__mse__scale2,3T_minus_3NT,-0.0035903052762885756,0.023645934193726872,-0.049468778535003526,0.04010733525226112
VP001,3,Frontal,sensitivity__mse__scale3,3T_minus_3NT,-0.001087367712492536,0.025670743336491643,-0.050536796582874216,0.04783886405126597
VP001,3,Frontal,sensitivity__mse__scale4,3T_minus_3NT,-0.019606108810629755,0.024506468193117952,-0.06855986753019264,0.027260752058788144
VP001,3,Frontal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP001,3,Occipital,entropy__sample_entropy,3T_minus_3NT,0.043122668260085414,0.015240413885998226,0.011821492045956361,0.072266744907025
VP001,3,Occipital,entropy__mse,3T_minus_3NT,0.039724049804743554,0.016936281916124295,0.00635669599606205,0.07244998416363299
VP001,3,Occipital,sensitivity__mse__scale1,3T_minus_3NT,0.043122668260085414,0.015240413885998226,0.011821492045956361,0.072266744907025
VP001,3,Occipital,sensitivity__mse__scale2,3T_minus_3NT,0.05088447339110835,0.022348661159039235,0.008965423154805655,0.09251817689478904
VP001,3,Occipital,sensitivity__mse__scale3,3T_minus_3NT,0.036688673437811334,0.03314668276338086,-0.026926185920717972,0.09907735162859696
VP001,3,Occipital,sensitivity__mse__scale4,3T_minus_3NT,0.022568243600084092,0.03320736515387467,-0.0395026187172688,0.08676570515634728
VP001,3,Occipital,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP001,3,Parietal,entropy__sample_entropy,3T_minus_3NT,0.0252944525364245,0.012303943941875325,-0.00015554159507373224,0.048795293710363036
VP001,3,Parietal,entropy__mse,3T_minus_3NT,0.02047257300197316,0.01419354733867797,-0.006409387938999905,0.04676890030602255
VP001,3,Parietal,sensitivity__mse__scale1,3T_minus_3NT,0.0252944525364245,0.012303943941875325,-0.00015554159507373224,0.048795293710363036
VP001,3,Parietal,sensitivity__mse__scale2,3T_minus_3NT,0.02678200828272392,0.01731464412009343,-0.007324357375284446,0.05994969873704751
VP001,3,Parietal,sensitivity__mse__scale3,3T_minus_3NT,0.025517143736150757,0.022982581337688636,-0.018439501155291936,0.06874352808176551
VP001,3,Parietal,sensitivity__mse__scale4,3T_minus_3NT,0.012984644530059437,0.020803616000402616,-0.029334297904492303,0.05225861854790719
VP001,3,Parietal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP001,3,Temporal,entropy__sample_entropy,3T_minus_3NT,0.006854337249687658,0.013965225998275172,-0.021953327353661213,0.03251341573661644
VP001,3,Temporal,entropy__mse,3T_minus_3NT,0.0017726809376440668,0.018456333289253193,-0.03677022057467985,0.03697565973063964
VP001,3,Temporal,sensitivity__mse__scale1,3T_minus_3NT,0.006854337249687658,0.013965225998275172,-0.021953327353661213,0.03251341573661644
VP001,3,Temporal,sensitivity__mse__scale2,3T_minus_3NT,-0.04772279384929639,0.027773973111736273,-0.10217434982819393,0.005613629387911535
VP001,3,Temporal,sensitivity__mse__scale3,3T_minus_3NT,0.000770549228653026,0.03178845153776113,-0.060974193952869044,0.062306110553110514
VP001,3,Temporal,sensitivity__mse__scale4,3T_minus_3NT,0.0387018061363719,0.0411160148452581,-0.04263072587814831,0.11750244022883714
VP001,3,Temporal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP001,3,WholeBrain,entropy__sample_entropy,3T_minus_3NT,0.0143342790957188,0.01222953113062785,-0.009427501055704017,0.03766264591489026
VP001,3,WholeBrain,entropy__mse,3T_minus_3NT,0.007891518988400409,0.014842374556274622,-0.02110374996501611,0.03598554366739931
VP001,3,WholeBrain,sensitivity__mse__scale1,3T_minus_3NT,0.0143342790957188,0.01222953113062785,-0.009427501055704017,0.03766264591489026
VP001,3,WholeBrain,sensitivity__mse__scale2,3T_minus_3NT,0.007352483065408913,0.017395325005277656,-0.024757355875041798,0.041263079546439436
VP001,3,WholeBrain,sensitivity__mse__scale3,3T_minus_3NT,0.004021596972215596,0.01883947619547913,-0.033014555201058185,0.04125611456120073
VP001,3,WholeBrain,sensitivity__mse__scale4,3T_minus_3NT,0.0056133715993200994,0.017003208384231045,-0.02587464900517871,0.039170930941691225
VP001,3,WholeBrain,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,2,Central,entropy__sample_entropy,2T_minus_2NT,-0.011618401375718818,0.01358930202395855,-0.037763777440657315,0.01399263654001366
VP002,2,Central,entropy__mse,2T_minus_2NT,-0.026705194875168578,0.0202276942043555,-0.0658604912346746,0.011879733659556834
VP002,2,Central,sensitivity__mse__scale1,2T_minus_2NT,-0.011618401375718818,0.01358930202395855,-0.037763777440657315,0.01399263654001366
VP002,2,Central,sensitivity__mse__scale2,2T_minus_2NT,-0.006995819730198058,0.023360526655843518,-0.051000859074223685,0.03765350487756625
VP002,2,Central,sensitivity__mse__scale3,2T_minus_2NT,-0.031839530799061606,0.029138469148023635,-0.08555690663149822,0.02548853878619787
VP002,2,Central,sensitivity__mse__scale4,2T_minus_2NT,-0.0582544072724576,0.03374671348939082,-0.12049653310787091,0.010242330670374292
VP002,2,Central,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,2,Frontal,entropy__sample_entropy,2T_minus_2NT,-0.005588082307878647,0.009194890711789652,-0.02326200965026603,0.012710450525809202
VP002,2,Frontal,entropy__mse,2T_minus_2NT,-0.018015309554427303,0.015476336919311544,-0.04716607875906332,0.012549302656010992
VP002,2,Frontal,sensitivity__mse__scale1,2T_minus_2NT,-0.005588082307878647,0.009194890711789652,-0.02326200965026603,0.012710450525809202
VP002,2,Frontal,sensitivity__mse__scale2,2T_minus_2NT,-0.01187066972125345,0.015917596269156287,-0.04181941821348823,0.018833181893863935
VP002,2,Frontal,sensitivity__mse__scale3,2T_minus_2NT,-0.02462959192821868,0.019932476129243017,-0.0646464472348253,0.01458397178178448
VP002,2,Frontal,sensitivity__mse__scale4,2T_minus_2NT,-0.02924617853773234,0.021200856503615462,-0.06951929620191287,0.012472343307589718
VP002,2,Frontal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,2,Occipital,entropy__sample_entropy,2T_minus_2NT,-0.008566587790544736,0.014777589882782069,-0.03665714251491818,0.019899410182633293
VP002,2,Occipital,entropy__mse,2T_minus_2NT,0.025562549492910144,0.01814165272937965,-0.009097122950529658,0.06244381643228645
VP002,2,Occipital,sensitivity__mse__scale1,2T_minus_2NT,-0.008566587790544736,0.014777589882782069,-0.03665714251491818,0.019899410182633293
VP002,2,Occipital,sensitivity__mse__scale2,2T_minus_2NT,0.03283473576389991,0.023189105597860367,-0.014012630321410596,0.07905337550793537
VP002,2,Occipital,sensitivity__mse__scale3,2T_minus_2NT,0.029307798319643995,0.03250600620205068,-0.03227661521940356,0.09454248328401609
VP002,2,Occipital,sensitivity__mse__scale4,2T_minus_2NT,0.029911566102106966,0.037011899738725124,-0.04258796994846094,0.10147687609767073
VP002,2,Occipital,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,2,Parietal,entropy__sample_entropy,2T_minus_2NT,-0.004883723092714575,0.012202692838540034,-0.02920931606309931,0.017630963457952564
VP002,2,Parietal,entropy__mse,2T_minus_2NT,-0.0010005786057404272,0.013814457418092755,-0.02897602340775765,0.024148246858273457
VP002,2,Parietal,sensitivity__mse__scale1,2T_minus_2NT,-0.004883723092714575,0.012202692838540034,-0.02920931606309931,0.017630963457952564
VP002,2,Parietal,sensitivity__mse__scale2,2T_minus_2NT,0.006187909371553225,0.01774419862603246,-0.029314434728278035,0.038789244837550356
VP002,2,Parietal,sensitivity__mse__scale3,2T_minus_2NT,0.01121420219509594,0.02198573178657036,-0.03307530487947183,0.05264900356273245
VP002,2,Parietal,sensitivity__mse__scale4,2T_minus_2NT,-0.006765919148759061,0.023604444252384536,-0.05165640425277834,0.03839736452837395
VP002,2,Parietal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,2,Temporal,entropy__sample_entropy,2T_minus_2NT,0.01669867217821166,0.01207398418831613,-0.0067990966345332915,0.03999613340230073
VP002,2,Temporal,entropy__mse,2T_minus_2NT,-0.0021157601197521456,0.01807602490103377,-0.03731502698811635,0.03258888117370708
VP002,2,Temporal,sensitivity__mse__scale1,2T_minus_2NT,0.01669867217821166,0.01207398418831613,-0.0067990966345332915,0.03999613340230073
VP002,2,Temporal,sensitivity__mse__scale2,2T_minus_2NT,0.023752739076310748,0.020376506019424253,-0.016686363354992156,0.06325878501803976
VP002,2,Temporal,sensitivity__mse__scale3,2T_minus_2NT,-0.05786269066986178,0.03366451942263843,-0.11962893310389333,0.007129737696610684
VP002,2,Temporal,sensitivity__mse__scale4,2T_minus_2NT,0.02414265369055497,0.0397902937320747,-0.05598866200163752,0.10285504103010178
VP002,2,Temporal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,2,WholeBrain,entropy__sample_entropy,2T_minus_2NT,-0.004735001298695128,0.009513149419394554,-0.02309010344051394,0.012991670568564949
VP002,2,WholeBrain,entropy__mse,2T_minus_2NT,-0.007672609604880072,0.012154782380301616,-0.03147411270409834,0.016121411381209212
VP002,2,WholeBrain,sensitivity__mse__scale1,2T_minus_2NT,-0.004735001298695128,0.009513149419394554,-0.02309010344051394,0.012991670568564949
VP002,2,WholeBrain,sensitivity__mse__scale2,2T_minus_2NT,0.0017905729879971273,0.014520438717032725,-0.026486889420597043,0.02850065870553198
VP002,2,WholeBrain,sensitivity__mse__scale3,2T_minus_2NT,-0.011747215506577605,0.016575630395811013,-0.04371882124111624,0.02023592762735854
VP002,2,WholeBrain,sensitivity__mse__scale4,2T_minus_2NT,-0.018927282592660518,0.016796254478247365,-0.05084877540568363,0.014447220500582895
VP002,2,WholeBrain,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP002,3,Central,entropy__sample_entropy,3T_minus_3NT,-0.002735685268339297,0.011840423295369634,-0.02578787885325945,0.019828395153553013
VP002,3,Central,entropy__mse,3T_minus_3NT,-0.0003387428635718914,0.020168033828142886,-0.039180605800738136,0.039712852362189556
VP002,3,Central,sensitivity__mse__scale1,3T_minus_3NT,-0.002735685268339297,0.011840423295369634,-0.02578787885325945,0.019828395153553013
VP002,3,Central,sensitivity__mse__scale2,3T_minus_3NT,0.005539002771914946,0.020960441793992587,-0.034697422274752435,0.047368811414160286
VP002,3,Central,sensitivity__mse__scale3,3T_minus_3NT,0.0014278831813800965,0.029482522710891388,-0.05591809864936862,0.06153001168097259
VP002,3,Central,sensitivity__mse__scale4,3T_minus_3NT,-0.02077234709449593,0.03597425126480634,-0.09143605737930016,0.0501754213934809
VP002,3,Central,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,3,Frontal,entropy__sample_entropy,3T_minus_3NT,-0.0009365173954616027,0.011386604663745498,-0.02358352751829345,0.020557940126268142
VP002,3,Frontal,entropy__mse,3T_minus_3NT,0.009471509814570274,0.018092257505095993,-0.025557587469113675,0.0446995868168252
VP002,3,Frontal,sensitivity__mse__scale1,3T_minus_3NT,-0.0009365173954616027,0.011386604663745498,-0.02358352751829345,0.020557940126268142
VP002,3,Frontal,sensitivity__mse__scale2,3T_minus_3NT,-0.0007147306842210231,0.020702002503605828,-0.04229279593601526,0.03823711655205054
VP002,3,Frontal,sensitivity__mse__scale3,3T_minus_3NT,0.018182229403497112,0.021531433122123574,-0.02420710210517705,0.061110563319943884
VP002,3,Frontal,sensitivity__mse__scale4,3T_minus_3NT,0.025125524661605562,0.023434487425832515,-0.020801134688407386,0.0728751119844615
VP002,3,Frontal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,3,Occipital,entropy__sample_entropy,3T_minus_3NT,0.0070822683719552765,0.015765549014225,-0.023597514713466012,0.03808683913269902
VP002,3,Occipital,entropy__mse,3T_minus_3NT,-0.017157727202870714,0.019961059951094474,-0.05424929566164631,0.021989634302165516
VP002,3,Occipital,sensitivity__mse__scale1,3T_minus_3NT,0.0070822683719552765,0.015765549014225,-0.023597514713466012,0.03808683913269902
VP002,3,Occipital,sensitivity__mse__scale2,3T_minus_3NT,0.008016224054591478,0.023597916529182614,-0.03878872063349752,0.05405535177232855
VP002,3,Occipital,sensitivity__mse__scale3,3T_minus_3NT,-0.03379283280570775,0.0363107135742689,-0.1039884359316646,0.03853609935019404
VP002,3,Occipital,sensitivity__mse__scale4,3T_minus_3NT,-0.08086425090305592,0.036047279499173836,-0.14960664993882308,-0.013500578671637831
VP002,3,Occipital,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,3,Parietal,entropy__sample_entropy,3T_minus_3NT,0.0024635294653914544,0.010746879767839649,-0.018747736452763696,0.02385790782597564
VP002,3,Parietal,entropy__mse,3T_minus_3NT,0.011643469555434282,0.012748499462645932,-0.015054706194144346,0.037388084333786535
VP002,3,Parietal,sensitivity__mse__scale1,3T_minus_3NT,0.0024635294653914544,0.010746879767839649,-0.018747736452763696,0.02385790782597564
VP002,3,Parietal,sensitivity__mse__scale2,3T_minus_3NT,0.019635727009824747,0.014675429323446487,-0.010106452046307718,0.048683705837184364
VP002,3,Parietal,sensitivity__mse__scale3,3T_minus_3NT,0.02034192646646848,0.019564629148923457,-0.01853148016655205,0.0592955673182142
VP002,3,Parietal,sensitivity__mse__scale4,3T_minus_3NT,0.0090138356427693,0.023121910717084634,-0.036543513754614024,0.054313836932361706
VP002,3,Parietal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,3,Temporal,entropy__sample_entropy,3T_minus_3NT,-0.001737053812217683,0.012548941284578428,-0.025661822644633767,0.021760915111245865
VP002,3,Temporal,entropy__mse,3T_minus_3NT,0.021302439872343416,0.017111884621116513,-0.011911442223160528,0.05460252164444
VP002,3,Temporal,sensitivity__mse__scale1,3T_minus_3NT,-0.001737053812217683,0.012548941284578428,-0.025661822644633767,0.021760915111245865
VP002,3,Temporal,sensitivity__mse__scale2,3T_minus_3NT,0.039775236107906224,0.021802957362846338,-0.002829685260696911,0.08176858537573307
VP002,3,Temporal,sensitivity__mse__scale3,3T_minus_3NT,0.0535293203153944,0.03114662604762044,-0.004166757119944941,0.11408091237668139
VP002,3,Temporal,sensitivity__mse__scale4,3T_minus_3NT,-0.013515214615145389,0.03729454792168855,-0.09098464843461937,0.057483837865825234
VP002,3,Temporal,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP002,3,WholeBrain,entropy__sample_entropy,3T_minus_3NT,0.0007655612687448327,0.009064621131476977,-0.017553525480874622,0.01813935716859032
VP002,3,WholeBrain,entropy__mse,3T_minus_3NT,0.0071104751251619535,0.012030706698607795,-0.017111404929191405,0.03146915937060378
VP002,3,WholeBrain,sensitivity__mse__scale1,3T_minus_3NT,0.0007655612687448327,0.009064621131476977,-0.017553525480874622,0.01813935716859032
VP002,3,WholeBrain,sensitivity__mse__scale2,3T_minus_3NT,0.010324130652047249,0.01392320897742181,-0.018034065489469214,0.03697485850468475
VP002,3,WholeBrain,sensitivity__mse__scale3,3T_minus_3NT,0.013343556747366972,0.01535132900344767,-0.016435785969085247,0.043718198440453354
VP002,3,WholeBrain,sensitivity__mse__scale4,3T_minus_3NT,0.004215382782925282,0.016902978968203745,-0.027943074259119644,0.036513768713048546
VP002,3,WholeBrain,sensitivity__mse__scale5,3T_minus_3NT,,,,
VP003,2,Central,entropy__sample_entropy,2T_minus_2NT,0.008284259536887596,0.011584049106396929,-0.013888743467510827,0.03061726097661237
VP003,2,Central,entropy__mse,2T_minus_2NT,0.03271360108136637,0.017962625448538414,-0.0014126847299734343,0.06832225974076687
VP003,2,Central,sensitivity__mse__scale1,2T_minus_2NT,0.008284259536887596,0.011584049106396929,-0.013888743467510827,0.03061726097661237
VP003,2,Central,sensitivity__mse__scale2,2T_minus_2NT,0.031010739432848797,0.021300555992501167,-0.010741510537513821,0.07435628282857404
VP003,2,Central,sensitivity__mse__scale3,2T_minus_2NT,0.043890620857836696,0.025324041085342367,-0.003705194746210488,0.093900452870593
VP003,2,Central,sensitivity__mse__scale4,2T_minus_2NT,0.06003369938817944,0.03456666810000606,-0.00590041975348241,0.12563785760635962
VP003,2,Central,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,2,Frontal,entropy__sample_entropy,2T_minus_2NT,0.0026244858358141824,0.015906394573158587,-0.029979413934015545,0.032821722588741754
VP003,2,Frontal,entropy__mse,2T_minus_2NT,0.005101405357773053,0.02415688808702775,-0.042951312414009984,0.05034612369805842
VP003,2,Frontal,sensitivity__mse__scale1,2T_minus_2NT,0.0026244858358141824,0.015906394573158587,-0.029979413934015545,0.032821722588741754
VP003,2,Frontal,sensitivity__mse__scale2,2T_minus_2NT,-0.002004942168010035,0.02705910899300343,-0.055978829725943674,0.04931653633493744
VP003,2,Frontal,sensitivity__mse__scale3,2T_minus_2NT,0.007791236089829052,0.02748817958818136,-0.04459962858160636,0.05931031919182252
VP003,2,Frontal,sensitivity__mse__scale4,2T_minus_2NT,0.01895898733822527,0.029243815392370927,-0.039025385391322255,0.07407561740387132
VP003,2,Frontal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,2,Occipital,entropy__sample_entropy,2T_minus_2NT,-0.007913409870880784,0.010727530532560283,-0.028706624895436218,0.011265558597236743
VP003,2,Occipital,entropy__mse,2T_minus_2NT,0.02346375390897263,0.012600833990053139,-0.0012030141306658957,0.04829753464768451
VP003,2,Occipital,sensitivity__mse__scale1,2T_minus_2NT,-0.007913409870880784,0.010727530532560283,-0.028706624895436218,0.011265558597236743
VP003,2,Occipital,sensitivity__mse__scale2,2T_minus_2NT,-0.01893024238300653,0.020176813820125778,-0.058983116853775955,0.018759447899619027
VP003,2,Occipital,sensitivity__mse__scale3,2T_minus_2NT,0.07283263768463706,0.026679823648896362,0.02033152137909155,0.12481487018845563
VP003,2,Occipital,sensitivity__mse__scale4,2T_minus_2NT,0.039065857796698515,0.02925580301738952,-0.017784646423844908,0.09514917745512207
VP003,2,Occipital,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,2,Parietal,entropy__sample_entropy,2T_minus_2NT,0.0035440256135927644,0.010669109193430676,-0.017194570426180757,0.02317199447507959
VP003,2,Parietal,entropy__mse,2T_minus_2NT,0.011641744225654503,0.01349141965724213,-0.014156760108295658,0.03677488881026592
VP003,2,Parietal,sensitivity__mse__scale1,2T_minus_2NT,0.0035440256135927644,0.010669109193430676,-0.017194570426180757,0.02317199447507959
VP003,2,Parietal,sensitivity__mse__scale2,2T_minus_2NT,0.010762368911903358,0.016662166799868317,-0.02209433193123918,0.04197919744548732
VP003,2,Parietal,sensitivity__mse__scale3,2T_minus_2NT,0.0023643127891357974,0.02036719814010928,-0.036091399361181775,0.0415811873345884
VP003,2,Parietal,sensitivity__mse__scale4,2T_minus_2NT,0.02683364060296128,0.020619818027327683,-0.014787705132534268,0.06584641324927587
VP003,2,Parietal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,2,Temporal,entropy__sample_entropy,2T_minus_2NT,0.004180614863919578,0.01574228364028269,-0.027034463751643256,0.03525457685962661
VP003,2,Temporal,entropy__mse,2T_minus_2NT,-0.001322782557278135,0.019153748527859924,-0.04003751891672993,0.034327545006828775
VP003,2,Temporal,sensitivity__mse__scale1,2T_minus_2NT,0.004180614863919578,0.01574228364028269,-0.027034463751643256,0.03525457685962661
VP003,2,Temporal,sensitivity__mse__scale2,2T_minus_2NT,0.006627595334423755,0.025225890963580206,-0.04483824982214816,0.05240449154511714
VP003,2,Temporal,sensitivity__mse__scale3,2T_minus_2NT,0.06925250063450948,0.030723723055441212,0.008896984165000529,0.12700499425781117
VP003,2,Temporal,sensitivity__mse__scale4,2T_minus_2NT,-0.10011935094108367,0.03915447176946619,-0.17690576515854337,-0.027377926241335428
VP003,2,Temporal,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,2,WholeBrain,entropy__sample_entropy,2T_minus_2NT,0.0025085483372195867,0.010664483730528945,-0.018399808043976076,0.022898682940857475
VP003,2,WholeBrain,entropy__mse,2T_minus_2NT,0.011670630600816207,0.014740622790887396,-0.015868761745511346,0.03955622788506142
VP003,2,WholeBrain,sensitivity__mse__scale1,2T_minus_2NT,0.0025085483372195867,0.010664483730528945,-0.018399808043976076,0.022898682940857475
VP003,2,WholeBrain,sensitivity__mse__scale2,2T_minus_2NT,0.004457954608721923,0.017520049085988556,-0.029544604114833027,0.03816436850554959
VP003,2,WholeBrain,sensitivity__mse__scale3,2T_minus_2NT,0.02204115724388226,0.01783762750061991,-0.01202972027480708,0.057852669821930526
VP003,2,WholeBrain,sensitivity__mse__scale4,2T_minus_2NT,0.020599201567364077,0.018053492226301454,-0.014000602140042138,0.05599482466210008
VP003,2,WholeBrain,sensitivity__mse__scale5,2T_minus_2NT,,,,
VP003,3,Central,entropy__sample_entropy,3T_minus_3NT,0.029130674396130034,0.012117490821029224,0.005358608282936906,0.052272303668775444
