scale,region,condition,n_participants,mean,std,sem,median,q25,q75,min,max
2,Temporal,3back,26,1.723505,0.174366,0.034196,1.742664,1.632471,1.835610,1.330975,2.009911
2,WholeBrain,0back,26,1.450973,0.193344,0.037918,1.438213,1.315899,1.500275,1.054158,1.934357
2,WholeBrain,2back,26,1.425702,0.215248,0.042214,1.431468,1.285521,1.537161,0.967231,1.999948
2,WholeBrain,3back,26,1.438336,0.215906,0.042343,1.437008,1.289333,1.549522,0.975018,2.000081
3,Central,0back,26,1.690642,0.176198,0.034555,1.704249,1.581702,1.794553,1.278088,2.020325
3,Central,2back,26,1.648462,0.210626,0.041307,1.638681,1.519319,1.786262,1.167562,2.014352
3,Central,3back,26,1.658542,0.206638,0.040525,1.676419,1.540393,1.779369,1.149832,2.048142
3,Frontal,0back,26,1.280684,0.312176,0.061223,1.321592,1.055231,1.442299,0.593814,1.865332
3,Frontal,2back,26,1.191891,0.331266,0.064967,1.247078,0.945727,1.371856,0.547219,1.918415
3,Frontal,3back,26,1.202008,0.329241,0.064569,1.244805,0.967866,1.359604,0.540215,1.931787
3,Occipital,0back,26,1.835987,0.111188,0.021806,1.841545,1.776466,1.910099,1.494463,2.015023
3,Occipital,2back,26,1.859690,0.089130,0.017480,1.839660,1.805954,1.918173,1.722941,2.019458
3,Occipital,3back,26,1.869211,0.087168,0.017095,1.868115,1.803653,1.929068,1.716722,2.032644
3,Parietal,0back,26,1.804343,0.112542,0.022071,1.808885,1.708370,1.887140,1.620815,2.016511
3,Parietal,2back,26,1.801125,0.121914,0.023909,1.810563,1.711231,1.876344,1.518880,2.027506
3,Parietal,3back,26,1.811504,0.117410,0.023026,1.822671,1.752805,1.875625,1.518705,2.033157
3,Temporal,0back,26,1.818689,0.127725,0.025049,1.838830,1.768436,1.882075,1.456134,2.037543
3,Temporal,2back,26,1.779828,0.141499,0.027750,1.806444,1.682317,1.864115,1.455558,2.018087
3,Temporal,3back,26,1.785780,0.142443,0.027935,1.802691,1.747695,1.868335,1.435566,2.017853
3,WholeBrain,0back,26,1.590853,0.175002,0.034321,1.598234,1.462897,1.683754,1.211757,1.949693
3,WholeBrain,2back,26,1.550180,0.198023,0.038835,1.553863,1.431691,1.654964,1.121148,1.973974
3,WholeBrain,3back,26,1.560016,0.195399,0.038321,1.592582,1.449339,1.659313,1.120160,1.986535
4,Central,0back,26,1.744096,0.168217,0.032990,1.757509,1.632112,1.884206,1.369599,1.969312
4,Central,2back,26,1.693648,0.201490,0.039515,1.725592,1.580752,1.851213,1.254285,1.984649
4,Central,3back,26,1.704380,0.198409,0.038911,1.730001,1.610039,1.870175,1.231692,1.974225
4,Frontal,0back,26,1.304161,0.310852,0.060963,1.358805,1.071540,1.520585,0.641417,1.836444
4,Frontal,2back,26,1.208102,0.322253,0.063199,1.219676,0.972444,1.427353,0.597479,1.798559
4,Frontal,3back,26,1.214390,0.315266,0.061829,1.240926,0.986919,1.395454,0.586311,1.791239
4,Occipital,0back,26,1.893785,0.078546,0.015404,1.915223,1.854608,1.949231,1.634406,1.991337
4,Occipital,2back,26,1.901801,0.069463,0.013623,1.902113,1.850448,1.954419,1.761701,2.004257
4,Occipital,3back,26,1.907466,0.065516,0.012849,1.918619,1.883324,1.944949,1.758552,2.024815
4,Parietal,0back,26,1.854143,0.085799,0.016827,1.863921,1.804491,1.927091,1.698455,1.977949
4,Parietal,2back,26,1.837767,0.103541,0.020306,1.852902,1.772340,1.921083,1.585538,1.974376
4,Parietal,3back,26,1.847758,0.102087,0.020021,1.872857,1.790262,1.927268,1.592951,1.978354
4,Temporal,0back,26,1.793642,0.114966,0.022547,1.804245,1.737044,1.882620,1.498113,1.966789
4,Temporal,2back,26,1.748582,0.136597,0.026789,1.747842,1.645787,1.868158,1.444370,1.969157
4,Temporal,3back,26,1.755433,0.133660,0.026213,1.753138,1.679798,1.847107,1.454943,1.959051
4,WholeBrain,0back,26,1.626213,0.165940,0.032544,1.664352,1.495282,1.748827,1.265635,1.903868
4,WholeBrain,2back,26,1.575448,0.186337,0.036544,1.610884,1.459391,1.713674,1.174002,1.879559
4,WholeBrain,3back,26,1.583366,0.181739,0.035642,1.598266,1.469194,1.710945,1.172043,1.883969
5,Central,0back,26,1.774829,0.172375,0.033806,1.828743,1.676332,1.912441,1.376666,1.971487
5,Central,2back,26,1.717118,0.196123,0.038463,1.745899,1.580271,1.878869,1.290848,1.997935
5,Central,3back,26,1.727167,0.194885,0.038220,1.745740,1.612507,1.876242,1.257131,1.989596
5,Frontal,0back,26,1.313684,0.312959,0.061376,1.360953,1.077670,1.567356,0.663672,1.840363
5,Frontal,2back,26,1.215104,0.318367,0.062437,1.215724,0.982653,1.472399,0.628977,1.780908
5,Frontal,3back,26,1.221644,0.309442,0.060686,1.222993,1.013609,1.427116,0.619170,1.781489
5,Occipital,0back,26,1.924386,0.059588,0.011686,1.930041,1.887642,1.955567,1.805905,2.042797
5,Occipital,2back,26,1.927203,0.073942,0.014501,1.921976,1.863148,1.986755,1.786659,2.053911
5,Occipital,3back,26,1.928104,0.069167,0.013565,1.916927,1.881576,1.987988,1.762602,2.042086
5,Parietal,0back,26,1.881543,0.083712,0.016417,1.879528,1.847880,1.936582,1.691405,1.997669
5,Parietal,2back,26,1.856990,0.106393,0.020865,1.863974,1.796687,1.942568,1.621503,2.009756
5,Parietal,3back,26,1.861225,0.108227,0.021225,1.876672,1.815019,1.946883,1.595448,2.018537
5,Temporal,0back,26,1.769515,0.127469,0.024999,1.741401,1.684767,1.876117,1.516262,1.961424
5,Temporal,2back,26,1.716721,0.146486,0.028728,1.694635,1.630480,1.834160,1.378462,1.959415
5,Temporal,3back,26,1.719022,0.141950,0.027839,1.682312,1.647502,1.838300,1.371170,1.968823
5,WholeBrain,0back,26,1.643523,0.169301,0.033203,1.676974,1.514604,1.774149,1.289662,1.878017
5,WholeBrain,2back,26,1.587287,0.183529,0.035993,1.588712,1.461971,1.747972,1.203649,1.861425
5,WholeBrain,3back,26,1.592529,0.179950,0.035291,1.598497,1.479153,1.733997,1.186885,1.861732
