chromophore,region,measure,contrast,cond_A,cond_B,mean_contrast,sd_contrast,ci95_low,ci95_high,paired_dz,rank_biserial,t_stat,t_p_value,wilcoxon_p,significant_p05
HbO,Frontal,entropy__sample_entropy,2_to_3,2back,3back,-0.008422,0.011426,-0.013037,-0.003807,-0.7371,-0.7265,-3.7584,9.190416e-04,6.641448e-04,YES
HbO,Frontal,entropy__mse,0_to_2,0back,2back,0.007501,0.022498,-0.001586,0.016588,0.3334,0.3333,1.7000,1.015378e-01,1.427159e-01,NO
HbO,Frontal,entropy__mse,0_to_3,0back,3back,-0.006561,0.029265,-0.018382,0.005259,-0.2242,-0.2308,-1.1432,2.637862e-01,3.152514e-01,NO
HbO,Frontal,entropy__mse,2_to_3,2back,3back,-0.014062,0.020920,-0.022512,-0.005612,-0.6722,-0.6638,-3.4274,2.117078e-03,2.181530e-03,YES
HbO,Frontal,sensitivity__mse__scale1,0_to_2,0back,2back,0.005254,0.012412,0.000241,0.010268,0.4233,0.4359,2.1584,4.069781e-02,5.251908e-02,YES
HbO,Frontal,sensitivity__mse__scale1,0_to_3,0back,3back,-0.003168,0.016508,-0.009835,0.003500,-0.1919,-0.1909,-0.9784,3.372451e-01,4.082431e-01,NO
HbO,Frontal,sensitivity__mse__scale1,2_to_3,2back,3back,-0.008422,0.011426,-0.013037,-0.003807,-0.7371,-0.7265,-3.7584,9.190416e-04,6.641448e-04,YES
HbO,Frontal,sensitivity__mse__scale2,0_to_2,0back,2back,0.007078,0.021715,-0.001692,0.015849,0.3260,0.3276,1.6621,1.089782e-01,1.499090e-01,NO
HbO,Frontal,sensitivity__mse__scale2,0_to_3,0back,3back,-0.007723,0.028139,-0.019089,0.003642,-0.2745,-0.2650,-1.3995,1.739415e-01,2.472376e-01,NO
HbO,Frontal,sensitivity__mse__scale2,2_to_3,2back,3back,-0.014802,0.020294,-0.022999,-0.006605,-0.7294,-0.6980,-3.7190,1.015772e-03,1.165122e-03,YES
HbO,Frontal,sensitivity__mse__scale3,0_to_2,0back,2back,0.008193,0.025021,-0.001914,0.018299,0.3274,0.3447,1.6695,1.074848e-01,1.291008e-01,NO
HbO,Frontal,sensitivity__mse__scale3,0_to_3,0back,3back,-0.007579,0.032349,-0.020645,0.005487,-0.2343,-0.2365,-1.1947,2.434140e-01,3.031630e-01,NO
HbO,Frontal,sensitivity__mse__scale3,2_to_3,2back,3back,-0.015772,0.023653,-0.025326,-0.006218,-0.6668,-0.6695,-3.4001,2.266182e-03,1.971602e-03,YES
HbO,Frontal,sensitivity__mse__scale4,0_to_2,0back,2back,0.009478,0.031731,-0.003339,0.022294,0.2987,0.3162,1.5230,1.403007e-01,1.650889e-01,NO
HbO,Frontal,sensitivity__mse__scale4,0_to_3,0back,3back,-0.007775,0.040705,-0.024216,0.008667,-0.1910,-0.1738,-0.9739,3.394329e-01,4.524725e-01,NO
HbO,Frontal,sensitivity__mse__scale4,2_to_3,2back,3back,-0.017252,0.028848,-0.028904,-0.005600,-0.5980,-0.5954,-3.0494,5.360117e-03,6.689191e-03,YES
HbO,Occipital,entropy__sample_entropy,0_to_2,0back,2back,0.004574,0.015536,-0.001701,0.010849,0.2944,0.4587,1.5014,1.457781e-01,4.074723e-02,NO
HbO,Occipital,entropy__sample_entropy,0_to_3,0back,3back,-0.000564,0.021010,-0.009050,0.007922,-0.0268,0.0883,-0.1368,8.922623e-01,7.078457e-01,NO
HbO,Occipital,entropy__sample_entropy,2_to_3,2back,3back,-0.005138,0.013762,-0.010697,0.000421,-0.3734,-0.4758,-1.9037,6.851849e-02,3.341016e-02,NO
HbO,Occipital,entropy__mse,0_to_2,0back,2back,0.007504,0.027232,-0.003495,0.018503,0.2756,0.4359,1.4051,1.722967e-01,5.251908e-02,NO
HbO,Occipital,entropy__mse,0_to_3,0back,3back,-0.000923,0.035403,-0.015223,0.013376,-0.0261,0.1225,-0.1330,8.952668e-01,5.995474e-01,NO
HbO,Occipital,entropy__mse,2_to_3,2back,3back,-0.008427,0.021795,-0.017230,0.000376,-0.3867,-0.5043,-1.9716,5.981393e-02,2.361092e-02,NO
HbO,Occipital,sensitivity__mse__scale1,0_to_2,0back,2back,0.004574,0.015536,-0.001701,0.010849,0.2944,0.4587,1.5014,1.457781e-01,4.074723e-02,NO
HbO,Occipital,sensitivity__mse__scale1,0_to_3,0back,3back,-0.000564,0.021010,-0.009050,0.007922,-0.0268,0.0883,-0.1368,8.922623e-01,7.078457e-01,NO
HbO,Occipital,sensitivity__mse__scale1,2_to_3,2back,3back,-0.005138,0.013762,-0.010697,0.000421,-0.3734,-0.4758,-1.9037,6.851849e-02,3.341016e-02,NO
HbO,Occipital,sensitivity__mse__scale2,0_to_2,0back,2back,0.006661,0.028114,-0.004694,0.018017,0.2369,0.4359,1.2082,2.382835e-01,5.251908e-02,NO
HbO,Occipital,sensitivity__mse__scale2,0_to_3,0back,3back,-0.002363,0.036548,-0.017125,0.012399,-0.0647,0.0541,-0.3297,7.443917e-01,8.221841e-01,NO
HbO,Occipital,sensitivity__mse__scale2,2_to_3,2back,3back,-0.009024,0.021971,-0.017899,-0.000150,-0.4107,-0.4644,-2.0944,4.652419e-02,3.816831e-02,YES
HbO,Occipital,sensitivity__mse__scale3,0_to_2,0back,2back,0.009008,0.030378,-0.003262,0.021278,0.2965,0.4701,1.5120,1.430634e-01,3.572437e-02,NO
HbO,Occipital,sensitivity__mse__scale3,0_to_3,0back,3back,-0.001064,0.038906,-0.016779,0.014650,-0.0274,0.1168,-0.1395,8.901836e-01,6.170916e-01,NO
HbO,Occipital,sensitivity__mse__scale3,2_to_3,2back,3back,-0.010072,0.024313,-0.019893,-0.000252,-0.4143,-0.5100,-2.1124,4.481262e-02,2.197167e-02,YES
HbO,Occipital,sensitivity__mse__scale4,0_to_2,0back,2back,0.009772,0.036496,-0.004969,0.024513,0.2678,0.4017,1.3653,1.843238e-01,7.514903e-02,NO
HbO,Occipital,sensitivity__mse__scale4,0_to_3,0back,3back,0.000298,0.046184,-0.018357,0.018952,0.0064,0.1624,0.0329,9.740458e-01,4.833516e-01,NO
HbO,Occipital,sensitivity__mse__scale4,2_to_3,2back,3back,-0.009474,0.028622,-0.021035,0.002087,-0.3310,-0.5043,-1.6878,1.038820e-01,2.361092e-02,NO
HbO,Parietal,entropy__sample_entropy,0_to_2,0back,2back,0.004355,0.014835,-0.001638,0.010347,0.2935,0.5100,1.4967,1.469956e-01,2.197167e-02,NO
HbO,Parietal,entropy__sample_entropy,0_to_3,0back,3back,-0.001190,0.020909,-0.009636,0.007255,-0.0569,0.2194,-0.2903,7.739673e-01,3.403313e-01,NO
HbO,Parietal,entropy__sample_entropy,2_to_3,2back,3back,-0.005545,0.011613,-0.010236,-0.000854,-0.4775,-0.5157,-2.4346,2.238209e-02,2.042863e-02,YES
HbO,Parietal,entropy__mse,0_to_2,0back,2back,0.009066,0.027888,-0.002199,0.020330,0.3251,0.5670,1.6575,1.099078e-01,1.018503e-02,NO
HbO,Parietal,entropy__mse,0_to_3,0back,3back,-0.001432,0.038525,-0.016992,0.014128,-0.0372,0.2479,-0.1895,8.512002e-01,2.798910e-01,NO
HbO,Parietal,entropy__mse,2_to_3,2back,3back,-0.010498,0.020263,-0.018682,-0.002313,-0.5181,-0.5670,-2.6417,1.402181e-02,1.018503e-02,YES
HbO,Parietal,sensitivity__mse__scale1,0_to_2,0back,2back,0.004355,0.014835,-0.001638,0.010347,0.2935,0.5100,1.4967,1.469956e-01,2.197167e-02,NO
HbO,Parietal,sensitivity__mse__scale1,0_to_3,0back,3back,-0.001190,0.020909,-0.009636,0.007255,-0.0569,0.2194,-0.2903,7.739673e-01,3.403313e-01,NO
HbO,Parietal,sensitivity__mse__scale1,2_to_3,2back,3back,-0.005545,0.011613,-0.010236,-0.000854,-0.4775,-0.5157,-2.4346,2.238209e-02,2.042863e-02,YES
HbO,Parietal,sensitivity__mse__scale2,0_to_2,0back,2back,0.007670,0.027754,-0.003540,0.018880,0.2764,0.4929,1.4092,1.711014e-01,2.719581e-02,NO
HbO,Parietal,sensitivity__mse__scale2,0_to_3,0back,3back,-0.002661,0.038527,-0.018222,0.012900,-0.0691,0.1909,-0.3522,7.276466e-01,4.082431e-01,NO
HbO,Parietal,sensitivity__mse__scale2,2_to_3,2back,3back,-0.010331,0.019813,-0.018334,-0.002329,-0.5214,-0.6239,-2.6589,1.347893e-02,4.279137e-03,YES
HbO,Parietal,sensitivity__mse__scale3,0_to_2,0back,2back,0.009709,0.031825,-0.003146,0.022563,0.3051,0.5385,1.5555,1.323910e-01,1.513213e-02,NO
HbO,Parietal,sensitivity__mse__scale3,0_to_3,0back,3back,-0.001335,0.042932,-0.018676,0.016006,-0.0311,0.2764,-0.1585,8.753122e-01,2.269585e-01,NO
HbO,Parietal,sensitivity__mse__scale3,2_to_3,2back,3back,-0.011043,0.023254,-0.020436,-0.001651,-0.4749,-0.5726,-2.4215,2.304286e-02,9.382546e-03,YES
HbO,Parietal,sensitivity__mse__scale4,0_to_2,0back,2back,0.014529,0.038576,-0.001052,0.030110,0.3766,0.6410,1.9205,6.627282e-02,3.229141e-03,NO
HbO,Parietal,sensitivity__mse__scale4,0_to_3,0back,3back,-0.000542,0.052996,-0.021947,0.020864,-0.0102,0.2764,-0.0521,9.588414e-01,2.269585e-01,NO
HbO,Parietal,sensitivity__mse__scale4,2_to_3,2back,3back,-0.015071,0.028625,-0.026633,-0.003509,-0.5265,-0.5726,-2.6846,1.270277e-02,9.382546e-03,YES
HbO,WholeBrain,entropy__sample_entropy,0_to_2,0back,2back,0.004156,0.010422,-0.000053,0.008366,0.3988,0.4872,2.0335,5.274284e-02,2.915090e-02,NO
HbO,WholeBrain,entropy__sample_entropy,0_to_3,0back,3back,-0.002701,0.015254,-0.008862,0.003460,-0.1771,-0.1225,-0.9029,3.751854e-01,5.995474e-01,NO
HbO,WholeBrain,entropy__sample_entropy,2_to_3,2back,3back,-0.006857,0.010451,-0.011079,-0.002636,-0.6562,-0.6752,-3.3458,2.594057e-03,1.779556e-03,YES
HbO,WholeBrain,entropy__mse,0_to_2,0back,2back,0.006347,0.018712,-0.001212,0.013905,0.3392,0.4359,1.7294,9.606843e-02,5.251908e-02,NO
HbO,WholeBrain,entropy__mse,0_to_3,0back,3back,-0.005244,0.027351,-0.016291,0.005804,-0.1917,-0.1852,-0.9776,3.376475e-01,4.227022e-01,NO
HbO,WholeBrain,entropy__mse,2_to_3,2back,3back,-0.011590,0.018578,-0.019094,-0.004086,-0.6239,-0.6410,-3.1810,3.892634e-03,3.229141e-03,YES
HbO,WholeBrain,sensitivity__mse__scale1,0_to_2,0back,2back,0.004156,0.010422,-0.000053,0.008366,0.3988,0.4872,2.0335,5.274284e-02,2.915090e-02,NO
HbO,WholeBrain,sensitivity__mse__scale1,0_to_3,0back,3back,-0.002701,0.015254,-0.008862,0.003460,-0.1771,-0.1225,-0.9029,3.751854e-01,5.995474e-01,NO
HbO,WholeBrain,sensitivity__mse__scale1,2_to_3,2back,3back,-0.006857,0.010451,-0.011079,-0.002636,-0.6562,-0.6752,-3.3458,2.594057e-03,1.779556e-03,YES
HbO,WholeBrain,sensitivity__mse__scale2,0_to_2,0back,2back,0.005512,0.018492,-0.001957,0.012981,0.2981,0.3960,1.5200,1.410542e-01,7.957256e-02,NO
HbO,WholeBrain,sensitivity__mse__scale2,0_to_3,0back,3back,-0.006451,0.027120,-0.017405,0.004503,-0.2379,-0.2194,-1.2129,2.365134e-01,3.403313e-01,NO
HbO,WholeBrain,sensitivity__mse__scale2,2_to_3,2back,3back,-0.011963,0.018258,-0.019338,-0.004589,-0.6552,-0.6581,-3.3411,2.624153e-03,2.410769e-03,YES
HbO,WholeBrain,sensitivity__mse__scale3,0_to_2,0back,2back,0.006862,0.020951,-0.001600,0.015324,0.3275,0.4131,1.6701,1.073713e-01,6.688321e-02,NO
HbO,WholeBrain,sensitivity__mse__scale3,0_to_3,0back,3back,-0.006089,0.030370,-0.018356,0.006178,-0.2005,-0.2023,-1.0223,3.164188e-01,3.801938e-01,NO
HbO,WholeBrain,sensitivity__mse__scale3,2_to_3,2back,3back,-0.012951,0.020950,-0.021413,-0.004489,-0.6182,-0.6410,-3.1522,4.176857e-03,3.229141e-03,YES
HbO,WholeBrain,sensitivity__mse__scale4,0_to_2,0back,2back,0.008855,0.025698,-0.001524,0.019235,0.3446,0.4245,1.7571,9.114991e-02,5.935487e-02,NO
HbO,WholeBrain,sensitivity__mse__scale4,0_to_3,0back,3back,-0.005734,0.037077,-0.020709,0.009242,-0.1546,-0.1282,-0.7885,4.378143e-01,5.822250e-01,NO
HbO,WholeBrain,sensitivity__mse__scale4,2_to_3,2back,3back,-0.014589,0.025132,-0.024740,-0.004438,-0.5805,-0.6182,-2.9599,6.646691e-03,4.689366e-03,YES
HbR,Central,entropy__sample_entropy,0_to_2,0back,2back,-0.005619,0.011906,-0.010428,-0.000810,-0.4719,-0.4758,-2.4064,2.382759e-02,3.341016e-02,YES
HbR,Central,entropy__sample_entropy,0_to_3,0back,3back,-0.002405,0.010522,-0.006655,0.001845,-0.2286,-0.2991,-1.1655,2.548090e-01,1.899041e-01,NO
HbR,Central,entropy__sample_entropy,2_to_3,2back,3back,0.003214,0.008934,-0.000395,0.006822,0.3597,0.4017,1.8343,7.853915e-02,7.514903e-02,NO
HbR,Central,entropy__mse,0_to_2,0back,2back,-0.010195,0.020643,-0.018533,-0.001857,-0.4939,-0.5214,-2.5182,1.856583e-02,1.897734e-02,YES
HbR,Central,entropy__mse,0_to_3,0back,3back,-0.004234,0.016873,-0.011049,0.002581,-0.2509,-0.3048,-1.2795,2.124738e-01,1.813544e-01,NO
HbR,Central,entropy__mse,2_to_3,2back,3back,0.005961,0.014593,0.000067,0.011855,0.4085,0.4245,2.0828,4.765094e-02,5.935487e-02,YES
HbR,Central,sensitivity__mse__scale1,0_to_2,0back,2back,-0.005619,0.011906,-0.010428,-0.000810,-0.4719,-0.4758,-2.4064,2.382759e-02,3.341016e-02,YES
HbR,Central,sensitivity__mse__scale1,0_to_3,0back,3back,-0.002405,0.010522,-0.006655,0.001845,-0.2286,-0.2991,-1.1655,2.548090e-01,1.899041e-01,NO
HbR,Central,sensitivity__mse__scale1,2_to_3,2back,3back,0.003214,0.008934,-0.000395,0.006822,0.3597,0.4017,1.8343,7.853915e-02,7.514903e-02,NO
HbR,Central,sensitivity__mse__scale2,0_to_2,0back,2back,-0.010324,0.019336,-0.018134,-0.002514,-0.5339,-0.5670,-2.7225,1.163650e-02,1.018503e-02,YES
HbR,Central,sensitivity__mse__scale2,0_to_3,0back,3back,-0.004428,0.016566,-0.011119,0.002264,-0.2673,-0.3105,-1.3628,1.850942e-01,1.730840e-01,NO
HbR,Central,sensitivity__mse__scale2,2_to_3,2back,3back,0.005896,0.014181,0.000169,0.011624,0.4158,0.4416,2.1201,4.409620e-02,4.934686e-02,YES
HbR,Central,sensitivity__mse__scale3,0_to_2,0back,2back,-0.010872,0.022748,-0.020060,-0.001684,-0.4780,-0.5100,-2.4371,2.225940e-02,2.197167e-02,YES
HbR,Central,sensitivity__mse__scale3,0_to_3,0back,3back,-0.004202,0.018200,-0.011553,0.003149,-0.2309,-0.2934,-1.1773,2.501687e-01,1.987362e-01,NO
HbR,Central,sensitivity__mse__scale3,2_to_3,2back,3back,0.006670,0.016355,0.000064,0.013276,0.4078,0.4302,2.0796,4.797214e-02,5.585322e-02,YES
HbR,Central,sensitivity__mse__scale4,0_to_2,0back,2back,-0.013965,0.029510,-0.025884,-0.002046,-0.4732,-0.4644,-2.4130,2.348003e-02,3.816831e-02,YES
HbR,Central,sensitivity__mse__scale4,0_to_3,0back,3back,-0.005901,0.022837,-0.015125,0.003323,-0.2584,-0.3276,-1.3177,1.995627e-01,1.499090e-01,NO
HbR,Central,sensitivity__mse__scale4,2_to_3,2back,3back,0.008064,0.020154,-0.000077,0.016204,0.4001,0.4188,2.0401,5.204005e-02,6.302971e-02,NO
HbR,Frontal,entropy__sample_entropy,0_to_2,0back,2back,-0.003524,0.009412,-0.007325,0.000278,-0.3744,-0.3960,-1.9091,6.778743e-02,7.957256e-02,NO
HbR,Frontal,entropy__sample_entropy,0_to_3,0back,3back,-0.005989,0.006814,-0.008741,-0.003237,-0.8789,-0.8006,-4.4817,1.428193e-04,1.258850e-04,YES
HbR,Frontal,entropy__sample_entropy,2_to_3,2back,3back,-0.002465,0.008856,-0.006042,0.001112,-0.2783,-0.3162,-1.4193,1.681725e-01,1.650889e-01,NO
HbR,Frontal,entropy__mse,0_to_2,0back,2back,-0.007634,0.019255,-0.015411,0.000144,-0.3964,-0.3960,-2.0215,5.405586e-02,7.957256e-02,NO
HbR,Frontal,entropy__mse,0_to_3,0back,3back,-0.012213,0.013769,-0.017774,-0.006651,-0.8870,-0.8120,-4.5227,1.283988e-04,9.450316e-05,YES
HbR,Frontal,entropy__mse,2_to_3,2back,3back,-0.004579,0.015968,-0.011029,0.001870,-0.2868,-0.3105,-1.4622,1.561356e-01,1.730840e-01,NO
HbR,Frontal,sensitivity__mse__scale1,0_to_2,0back,2back,-0.003524,0.009412,-0.007325,0.000278,-0.3744,-0.3960,-1.9091,6.778743e-02,7.957256e-02,NO
HbR,Frontal,sensitivity__mse__scale1,0_to_3,0back,3back,-0.005989,0.006814,-0.008741,-0.003237,-0.8789,-0.8006,-4.4817,1.428193e-04,1.258850e-04,YES
HbR,Frontal,sensitivity__mse__scale1,2_to_3,2back,3back,-0.002465,0.008856,-0.006042,0.001112,-0.2783,-0.3162,-1.4193,1.681725e-01,1.650889e-01,NO
HbR,Frontal,sensitivity__mse__scale2,0_to_2,0back,2back,-0.007740,0.019017,-0.015421,-0.000059,-0.4070,-0.3960,-2.0754,4.838558e-02,7.957256e-02,YES
HbR,Frontal,sensitivity__mse__scale2,0_to_3,0back,3back,-0.012563,0.013795,-0.018135,-0.006991,-0.9107,-0.8291,-4.6437,9.382952e-05,6.031990e-05,YES
HbR,Frontal,sensitivity__mse__scale2,2_to_3,2back,3back,-0.004823,0.015924,-0.011255,0.001609,-0.3029,-0.3105,-1.5444,1.350670e-01,1.730840e-01,NO
HbR,Frontal,sensitivity__mse__scale3,0_to_2,0back,2back,-0.009430,0.022251,-0.018418,-0.000443,-0.4238,-0.4245,-2.1610,4.046993e-02,5.935487e-02,YES
HbR,Frontal,sensitivity__mse__scale3,0_to_3,0back,3back,-0.014425,0.016307,-0.021012,-0.007839,-0.8846,-0.8120,-4.5106,1.324970e-04,9.450316e-05,YES
HbR,Frontal,sensitivity__mse__scale3,2_to_3,2back,3back,-0.004995,0.018300,-0.012386,0.002397,-0.2729,-0.2934,-1.3917,1.762760e-01,1.987362e-01,NO
HbR,Frontal,sensitivity__mse__scale4,0_to_2,0back,2back,-0.009841,0.026638,-0.020600,0.000919,-0.3694,-0.3903,-1.8837,7.129170e-02,8.419731e-02,NO
HbR,Frontal,sensitivity__mse__scale4,0_to_3,0back,3back,-0.015874,0.018641,-0.023403,-0.008345,-0.8516,-0.7892,-4.3422,2.049780e-04,1.661777e-04,YES
HbR,Frontal,sensitivity__mse__scale4,2_to_3,2back,3back,-0.006033,0.021215,-0.014602,0.002535,-0.2844,-0.2991,-1.4501,1.594499e-01,1.899041e-01,NO
HbR,Occipital,entropy__sample_entropy,0_to_2,0back,2back,-0.005595,0.017336,-0.012597,0.001407,-0.3228,-0.3390,-1.6457,1.123391e-01,1.357813e-01,NO
HbR,Occipital,entropy__sample_entropy,0_to_3,0back,3back,-0.005811,0.015613,-0.012117,0.000495,-0.3722,-0.3675,-1.8978,6.933491e-02,1.048203e-01,NO
HbR,Occipital,entropy__sample_entropy,2_to_3,2back,3back,-0.000216,0.012904,-0.005428,0.004996,-0.0167,0.0256,-0.0853,9.327325e-01,9.204554e-01,NO
HbR,Occipital,entropy__mse,0_to_2,0back,2back,-0.008041,0.025817,-0.018469,0.002386,-0.3115,-0.3219,-1.5882,1.248076e-01,1.573652e-01,NO
HbR,Occipital,entropy__mse,0_to_3,0back,3back,-0.008918,0.024842,-0.018952,0.001116,-0.3590,-0.3333,-1.8306,7.911312e-02,1.427159e-01,NO
HbR,Occipital,entropy__mse,2_to_3,2back,3back,-0.000877,0.021525,-0.009571,0.007817,-0.0407,0.0256,-0.2078,8.370957e-01,9.204554e-01,NO
HbR,Occipital,sensitivity__mse__scale1,0_to_2,0back,2back,-0.005595,0.017336,-0.012597,0.001407,-0.3228,-0.3390,-1.6457,1.123391e-01,1.357813e-01,NO
HbR,Occipital,sensitivity__mse__scale1,0_to_3,0back,3back,-0.005811,0.015613,-0.012117,0.000495,-0.3722,-0.3675,-1.8978,6.933491e-02,1.048203e-01,NO
HbR,Occipital,sensitivity__mse__scale1,2_to_3,2back,3back,-0.000216,0.012904,-0.005428,0.004996,-0.0167,0.0256,-0.0853,9.327325e-01,9.204554e-01,NO
HbR,Occipital,sensitivity__mse__scale2,0_to_2,0back,2back,-0.009029,0.025464,-0.019314,0.001256,-0.3546,-0.4074,-1.8080,8.265588e-02,7.092106e-02,NO
HbR,Occipital,sensitivity__mse__scale2,0_to_3,0back,3back,-0.010254,0.024069,-0.019976,-0.000533,-0.4260,-0.4758,-2.1724,3.951265e-02,3.341016e-02,YES
HbR,Occipital,sensitivity__mse__scale2,2_to_3,2back,3back,-0.001225,0.021288,-0.009824,0.007373,-0.0576,0.0028,-0.2935,7.715403e-01,1.000000e+00,NO
HbR,Occipital,sensitivity__mse__scale3,0_to_2,0back,2back,-0.008487,0.029695,-0.020481,0.003507,-0.2858,-0.2877,-1.4574,1.574630e-01,2.078540e-01,NO
HbR,Occipital,sensitivity__mse__scale3,0_to_3,0back,3back,-0.010138,0.028210,-0.021532,0.001256,-0.3594,-0.3675,-1.8324,7.882661e-02,1.048203e-01,NO
HbR,Occipital,sensitivity__mse__scale3,2_to_3,2back,3back,-0.001651,0.024642,-0.011603,0.008302,-0.0670,-0.0085,-0.3415,7.355488e-01,9.800839e-01,NO
HbR,Occipital,sensitivity__mse__scale4,0_to_2,0back,2back,-0.009054,0.033076,-0.022414,0.004305,-0.2737,-0.3048,-1.3958,1.750378e-01,1.813544e-01,NO
HbR,Occipital,sensitivity__mse__scale4,0_to_3,0back,3back,-0.009471,0.033321,-0.022930,0.003988,-0.2842,-0.1966,-1.4493,1.596807e-01,3.940727e-01,NO
HbR,Occipital,sensitivity__mse__scale4,2_to_3,2back,3back,-0.000416,0.029258,-0.012234,0.011401,-0.0142,-0.0370,-0.0726,9.427135e-01,8.809218e-01,NO
HbR,Parietal,entropy__sample_entropy,0_to_2,0back,2back,-0.004239,0.013828,-0.009825,0.001346,-0.3066,-0.3447,-1.5633,1.305629e-01,1.291008e-01,NO
HbR,Parietal,entropy__sample_entropy,0_to_3,0back,3back,-0.005482,0.017922,-0.012721,0.001756,-0.3059,-0.2764,-1.5598,1.313797e-01,2.269585e-01,NO
HbR,Parietal,entropy__sample_entropy,2_to_3,2back,3back,-0.001243,0.012801,-0.006413,0.003928,-0.0971,-0.0826,-0.4951,6.248761e-01,7.265400e-01,NO
HbR,Parietal,entropy__mse,0_to_2,0back,2back,-0.007347,0.025166,-0.017512,0.002818,-0.2919,-0.3219,-1.4885,1.491163e-01,1.573652e-01,NO
HbR,Parietal,entropy__mse,0_to_3,0back,3back,-0.006834,0.028898,-0.018506,0.004838,-0.2365,-0.2422,-1.2059,2.391536e-01,2.913763e-01,NO
HbR,Parietal,entropy__mse,2_to_3,2back,3back,0.000512,0.018829,-0.007093,0.008118,0.0272,-0.0028,0.1388,8.907370e-01,1.000000e+00,NO
HbR,Parietal,sensitivity__mse__scale1,0_to_2,0back,2back,-0.004239,0.013828,-0.009825,0.001346,-0.3066,-0.3447,-1.5633,1.305629e-01,1.291008e-01,NO
HbR,Parietal,sensitivity__mse__scale1,0_to_3,0back,3back,-0.005482,0.017922,-0.012721,0.001756,-0.3059,-0.2764,-1.5598,1.313797e-01,2.269585e-01,NO
